,index,Genotype,Status,Volume
0,0,Chr/w,Ctrl,79.3
1,115,Chr/w,Ctrl,57.736999999999995
2,116,R50H05/w,Ctrl,52.787
3,117,R50H05/w,Ctrl,89.882
4,118,R50H05/w,Ctrl,0.0
5,119,Chr/w,Ctrl,39.21
6,120,R50H05/w,Ctrl,51.187999999999995
7,121,Chr/w,Ctrl,79.2829999999999
8,122,Chr/w,Ctrl,141.577
9,114,Chr/w,Ctrl,730.221
10,123,R50H05/w,Ctrl,131.865
11,125,Chr/w,Ctrl,89.12599999999999
12,126,R50H05>Chr,Test,0.0
13,127,R50H05>Chr,Test,178.10899999999998
14,128,R50H05>Chr,Test,0.0
15,129,R50H05>Chr,Test,0.0
16,130,R50H05>Chr,Test,0.0
17,131,R50H05>Chr,Test,158.23100000000002
18,132,R50H05>Chr,Test,0.0
19,124,R50H05>Chr,Test,0.0
20,113,Chr/w,Ctrl,8.115
21,112,Chr/w,Ctrl,101.213
22,111,R50H05>Chr,Test,110.451
23,92,R50H05/w,Ctrl,52.802
24,93,R50H05>Chr,Test,11.886000000000001
25,94,R50H05>Chr,Test,0.0
26,95,R50H05>Chr,Test,0.0
27,96,R50H05>Chr,Test,70.922
28,97,R50H05>Chr,Test,0.0
29,98,R50H05>Chr,Test,0.0
30,99,R50H05/w,Ctrl,67.607
31,100,R50H05>Chr,Test,119.702
32,101,R50H05/w,Ctrl,0.0
33,102,R50H05>Chr,Test,103.374
34,103,R50H05>Chr,Test,0.0
35,104,R50H05/w,Ctrl,108.489
36,105,Chr/w,Ctrl,35.138000000000005
37,106,R50H05/w,Ctrl,152.43599999999998
38,107,R50H05>Chr,Test,0.0
39,108,R50H05>Chr,Test,0.0
40,109,R50H05>Chr,Test,0.0
41,110,Chr/w,Ctrl,206.21800000000002
42,133,Chr/w,Ctrl,2.4160000000000004
43,134,R50H05/w,Ctrl,15.866999999999999
44,135,Chr/w,Ctrl,46.455999999999996
45,136,R50H05/w,Ctrl,32.626000000000005
46,161,R50H05>Chr,Test,83.164
47,162,Chr/w,Ctrl,0.0
48,163,R50H05>Chr,Test,16.632
49,164,R50H05>Chr,Test,105.503
50,165,Chr/w,Ctrl,0.0
51,166,R50H05/w,Ctrl,0.0
52,167,R50H05/w,Ctrl,0.0
53,168,R50H05>Chr,Test,76.689
54,169,Chr/w,Ctrl,0.0
55,170,R50H05>Chr,Test,180.38299999999998
56,171,R50H05>Chr,Test,146.292
57,172,R50H05/w,Ctrl,0.0
58,173,Chr/w,Ctrl,0.0
59,174,R50H05/w,Ctrl,0.0
60,175,R50H05>Chr,Test,108.769
61,176,R50H05/w,Ctrl,0.0
62,177,R50H05>Chr,Test,126.87399999999998
63,178,R50H05>Chr,Test,32.945
64,179,R50H05>Chr,Test,47.577
65,160,R50H05>Chr,Test,104.362
66,91,R50H05>Chr,Test,126.92999999999999
67,159,R50H05/w,Ctrl,0.0
68,157,R50H05>Chr,Test,101.713
69,137,Chr/w,Ctrl,154.767
70,138,Chr/w,Ctrl,75.02499999999999
71,139,R50H05/w,Ctrl,32.091
72,140,R50H05>Chr,Test,0.0
73,142,R50H05>Chr,Test,0.0
74,143,Chr/w,Ctrl,0.0
75,144,R50H05/w,Ctrl,0.0
76,145,R50H05>Chr,Test,175.311
77,146,R50H05>Chr,Test,0.0
78,147,R50H05>Chr,Test,0.0
79,148,Chr/w,Ctrl,152.93699999999998
80,149,R50H05>Chr,Test,30.71
81,150,R50H05/w,Ctrl,152.42600000000002
82,151,R50H05/w,Ctrl,51.699000000000005
83,152,Chr/w,Ctrl,12.306
84,153,R50H05>Chr,Test,15.399
85,154,R50H05/w,Ctrl,0.0
86,155,R50H05/w,Ctrl,0.0
87,156,Chr/w,Ctrl,0.0
88,158,R50H05>Chr,Test,184.07000000000002
89,90,Chr/w,Ctrl,7.289000000000001
90,141,R50H05>Chr,Test,0.0
91,88,R50H05/w,Ctrl,12.022
92,24,Chr/w,Ctrl,0.0
93,25,R50H05/w,Ctrl,0.0
94,26,R50H05/w,Ctrl,0.0
95,27,R50H05>Chr,Test,79.50999999999999
96,28,R50H05/w,Ctrl,0.0
97,29,R50H05>Chr,Test,134.70499999999998
98,30,R50H05>Chr,Test,65.108
99,31,R50H05>Chr,Test,0.0
100,23,R50H05/w,Ctrl,0.0
101,32,R50H05/w,Ctrl,75.63000000000001
102,34,Chr/w,Ctrl,0.0
103,35,Chr/w,Ctrl,0.0
104,36,Chr/w,Ctrl,70.028
105,37,Chr/w,Ctrl,0.0
106,38,R50H05/w,Ctrl,0.0
107,39,Chr/w,Ctrl,0.0
108,40,R50H05/w,Ctrl,101.107
109,41,R50H05/w,Ctrl,0.0
110,33,Chr/w,Ctrl,0.0
111,22,R50H05>Chr,Test,0.0
112,21,R50H05>Chr,Test,26.289
113,19,Chr/w,Ctrl,26.612000000000002
114,89,R50H05/w,Ctrl,41.189
115,1,Chr/w,Ctrl,0.0
116,2,Chr/w,Ctrl,0.0
117,3,R50H05>Chr,Test,0.0
118,4,R50H05>Chr,Test,149.14
119,5,R50H05/w,Ctrl,0.0
120,6,Chr/w,Ctrl,0.0
121,7,R50H05/w,Ctrl,0.0
122,8,Chr/w,Ctrl,0.0
123,9,Chr/w,Ctrl,0.0
124,10,R50H05/w,Ctrl,0.0
125,11,Chr/w,Ctrl,0.0
126,12,R50H05>Chr,Test,106.601
127,13,R50H05/w,Ctrl,185.48999999999998
128,14,Chr/w,Ctrl,19.664
129,15,R50H05/w,Ctrl,147.641
130,16,Chr/w,Ctrl,27.479
131,17,R50H05/w,Ctrl,112.658
132,18,Chr/w,Ctrl,73.1
133,42,Chr/w,Ctrl,0.0
134,43,Chr/w,Ctrl,0.0
135,20,R50H05>Chr,Test,16.168
136,45,R50H05/w,Ctrl,0.0
137,69,Chr/w,Ctrl,18.168
138,70,Chr/w,Ctrl,133.767
139,71,Chr/w,Ctrl,140.471
140,72,R50H05/w,Ctrl,16.316
141,73,R50H05>Chr,Test,40.160999999999895
142,74,R50H05>Chr,Test,0.0
143,75,R50H05>Chr,Test,0.0
144,77,R50H05/w,Ctrl,62.550999999999995
145,78,R50H05/w,Ctrl,80.645
146,79,R50H05/w,Ctrl,93.86999999999999
147,80,Chr/w,Ctrl,67.994
148,81,R50H05/w,Ctrl,82.51
149,82,Chr/w,Ctrl,2.686
150,83,R50H05/w,Ctrl,147.27499999999998
151,84,R50H05/w,Ctrl,64.622
152,85,R50H05/w,Ctrl,78.49499999999999
153,86,Chr/w,Ctrl,59.849
154,44,Chr/w,Ctrl,0.0
155,87,R50H05/w,Ctrl,102.89099999999999
156,68,R50H05/w,Ctrl,85.736
157,67,R50H05/w,Ctrl,105.226
158,76,R50H05>Chr,Test,0.0
159,65,R50H05/w,Ctrl,76.854
160,46,Chr/w,Ctrl,0.0
161,47,Chr/w,Ctrl,0.0
162,66,R50H05/w,Ctrl,84.975
163,48,Chr/w,Ctrl,0.0
164,49,R50H05>Chr,Test,141.72
165,50,Chr/w,Ctrl,54.71
166,51,Chr/w,Ctrl,81.673
167,53,R50H05>Chr,Test,0.0
168,54,R50H05/w,Ctrl,170.971
169,55,Chr/w,Ctrl,20.552999999999997
170,52,R50H05>Chr,Test,63.955999999999996
171,57,R50H05/w,Ctrl,57.556999999999995
172,58,R50H05/w,Ctrl,20.8059999999999
173,59,R50H05/w,Ctrl,70.78
174,60,R50H05/w,Ctrl,109.31
175,61,R50H05/w,Ctrl,111.978
176,62,Chr/w,Ctrl,77.185
177,56,Chr/w,Ctrl,38.066
178,63,Chr/w,Ctrl,72.04
179,64,Chr/w,Ctrl,14.023000000000001
180,314,R50H05/w,Ctrl,0.0
181,321,Chr/w,Ctrl,0.0
182,313,Chr/w,Ctrl,0.0
183,320,R50H05/w,Ctrl,0.0
184,319,R50H05/w,Ctrl,0.0
185,316,R50H05/w,Ctrl,41.603
186,317,Chr/w,Ctrl,131.048
187,315,R50H05/w,Ctrl,2.2439999999999998
188,322,Chr/w,Ctrl,0.0
189,318,R50H05/w,Ctrl,59.536
190,323,Chr/w,Ctrl,75.80099999999999
191,331,R50H05/w,Ctrl,80.566
192,325,Chr/w,Ctrl,125.14500000000001
193,326,R50H05/w,Ctrl,47.7799999999999
194,327,Chr/w,Ctrl,153.859
195,328,R50H05/w,Ctrl,70.116
196,329,Chr/w,Ctrl,120.832
197,330,R50H05/w,Ctrl,18.999
198,332,Chr/w,Ctrl,58.082
199,334,Chr/w,Ctrl,60.586
200,312,Chr/w,Ctrl,0.0
201,333,R50H05/w,Ctrl,106.553
202,324,R50H05/w,Ctrl,60.055
203,311,R50H05/w,Ctrl,0.0
204,290,R50H05/w,Ctrl,38.782
205,309,R50H05/w,Ctrl,0.0
206,286,Chr/w,Ctrl,0.0
207,335,Chr/w,Ctrl,52.629999999999896
208,287,R50H05/w,Ctrl,126.332
209,288,R50H05/w,Ctrl,41.745999999999995
210,289,Chr/w,Ctrl,79.04799999999999
211,291,Chr/w,Ctrl,39.192
212,292,Chr/w,Ctrl,71.025
213,293,Chr/w,Ctrl,41.565999999999995
214,294,Chr/w,Ctrl,34.0489999999999
215,295,R50H05/w,Ctrl,79.685
216,296,Chr/w,Ctrl,237.38799999999998
217,297,Chr/w,Ctrl,90.262
218,298,R50H05/w,Ctrl,76.416
219,299,Chr/w,Ctrl,177.63799999999998
220,300,R50H05/w,Ctrl,9.405
221,301,Chr/w,Ctrl,0.0
222,302,R50H05/w,Ctrl,0.0
223,303,Chr/w,Ctrl,128.913
224,304,Chr/w,Ctrl,0.0
225,305,Chr/w,Ctrl,0.0
226,306,R50H05/w,Ctrl,0.0
227,307,R50H05/w,Ctrl,0.0
228,308,R50H05/w,Ctrl,0.0
229,310,Chr/w,Ctrl,0.0
230,336,R50H05/w,Ctrl,35.876
231,380,R50H05/w,Ctrl,312.309
232,338,R50H05/w,Ctrl,103.884
233,366,R50H05/w,Ctrl,0.0
234,367,Chr/w,Ctrl,0.0
235,368,Chr/w,Ctrl,0.0
236,369,Chr/w,Ctrl,0.0
237,370,Chr/w,Ctrl,0.0
238,371,R50H05/w,Ctrl,0.0
239,372,Chr/w,Ctrl,0.0
240,373,Chr/w,Ctrl,93.653
241,374,Chr/w,Ctrl,173.8029999999999
242,375,R50H05/w,Ctrl,91.17599999999999
243,365,Chr/w,Ctrl,0.0
244,376,R50H05/w,Ctrl,150.4309999999999
245,378,Chr/w,Ctrl,9.431000000000001
246,379,R50H05/w,Ctrl,102.325
247,381,Chr/w,Ctrl,107.17
248,382,Chr/w,Ctrl,120.291
249,383,Chr/w,Ctrl,28.698
250,384,Chr/w,Ctrl,61.832
251,385,R50H05/w,Ctrl,103.917
252,386,R50H05/w,Ctrl,181.198
253,387,R50H05/w,Ctrl,0.0
254,285,Chr/w,Ctrl,0.0
255,377,R50H05/w,Ctrl,57.055
256,364,Chr/w,Ctrl,0.0
257,363,R50H05/w,Ctrl,0.0
258,362,R50H05/w,Ctrl,0.0
259,339,R50H05/w,Ctrl,24.601000000000003
260,340,Chr/w,Ctrl,77.329
261,341,R50H05/w,Ctrl,70.348
262,342,Chr/w,Ctrl,138.763
263,343,Chr/w,Ctrl,109.411
264,344,Chr/w,Ctrl,4.709
265,345,R50H05/w,Ctrl,49.312999999999896
266,346,Chr/w,Ctrl,163.95000000000002
267,347,R50H05/w,Ctrl,31.717000000000002
268,348,Chr/w,Ctrl,165.31199999999998
269,349,Chr/w,Ctrl,33.073
270,350,Chr/w,Ctrl,105.965
271,351,Chr/w,Ctrl,94.79799999999999
272,352,R50H05/w,Ctrl,140.346
273,353,Chr/w,Ctrl,85.787
274,354,Chr/w,Ctrl,145.882
275,355,R50H05/w,Ctrl,56.193
276,356,R50H05/w,Ctrl,78.71499999999999
277,357,R50H05/w,Ctrl,0.0
278,358,Chr/w,Ctrl,0.0
279,359,R50H05/w,Ctrl,0.0
280,360,R50H05/w,Ctrl,0.0
281,361,Chr/w,Ctrl,0.0
282,337,R50H05/w,Ctrl,38.415
283,284,R50H05/w,Ctrl,0.0
284,194,R50H05>Chr,Test,352.157
285,282,Chr/w,Ctrl,0.0
286,207,R50H05>Chr,Test,566.232
287,208,R50H05>Chr,Test,767.4960000000001
288,209,R50H05>Chr,Test,330.078
289,210,R50H05>Chr,Test,353.20099999999996
290,211,R50H05>Chr,Test,403.763
291,212,R50H05>Chr,Test,555.264
292,213,R50H05>Chr,Test,0.0
293,214,R50H05>Chr,Test,207.76500000000001
294,215,R50H05>Chr,Test,138.256
295,216,R50H05>Chr,Test,275.247
296,206,R50H05>Chr,Test,215.562
297,217,R50H05>Chr,Test,223.447
298,219,R50H05>Chr,Test,538.1890000000001
299,220,R50H05>Chr,Test,371.788
300,221,R50H05>Chr,Test,374.35200000000003
301,222,R50H05>Chr,Test,299.18699999999995
302,223,R50H05>Chr,Test,177.62
303,224,R50H05>Chr,Test,565.7860000000001
304,225,R50H05>Chr,Test,589.996
305,226,R50H05>Chr,Test,272.194
306,227,R50H05>Chr,Test,396.972
307,228,R50H05>Chr,Test,442.942
308,218,R50H05>Chr,Test,189.107
309,205,R50H05/w,Ctrl,140.147
310,204,R50H05>Chr,Test,382.80199999999996
311,203,Chr/w,Ctrl,107.824
