,index,Genotype,Status,Light,Perifeed Speed Ratio
0,87,ACR1/w,Ctrl,Green Light Off,0.1960275649703432
1,85,R50H05/w,Ctrl,Green Light Off,0.5844563426254954
2,84,ACR1/w,Ctrl,Green Light Off,0.448654057591121
3,83,R50H05>ACR1,Test,Green Light Off,0.4477222528419522
4,82,R50H05/w,Ctrl,Green Light Off,0.2332430263900458
5,81,ACR1/w,Ctrl,Green Light Off,0.3892078338208288
6,80,ACR1/w,Ctrl,Green Light Off,0.6488961274559271
7,79,R50H05>ACR1,Test,Green Light Off,0.5819910792963912
8,78,R50H05>ACR1,Test,Green Light Off,0.24471085639675
9,77,R50H05/w,Ctrl,Green Light Off,0.6264960553917179
10,76,ACR1/w,Ctrl,Green Light Off,0.8570177669447215
11,75,R50H05>ACR1,Test,Green Light Off,0.26367725352573
12,74,R50H05/w,Ctrl,Green Light Off,0.4146494850574699
13,73,ACR1/w,Ctrl,Green Light Off,0.3889394188043397
14,72,R50H05>ACR1,Test,Green Light Off,0.5969664214730875
15,71,R50H05/w,Ctrl,Green Light Off,1.019791653435029
16,70,ACR1/w,Ctrl,Green Light Off,0.9894284163692928
17,69,R50H05>ACR1,Test,Green Light Off,0.4120822203757474
18,68,R50H05/w,Ctrl,Green Light Off,0.565210529645996
19,67,R50H05/w,Ctrl,Green Light Off,0.4666520924044851
20,66,ACR1/w,Ctrl,Green Light Off,0.9793689794430714
21,65,R50H05>ACR1,Test,Green Light Off,0.9293434065405076
22,64,R50H05/w,Ctrl,Green Light Off,0.2821618924485554
23,63,R50H05>ACR1,Test,Green Light Off,0.4189926977819748
24,62,R50H05/w,Ctrl,Green Light Off,0.1823035757233687
25,57,ACR1/w,Ctrl,Green Light Off,0.4775884850397664
26,58,ACR1/w,Ctrl,Green Light Off,0.3783739365045103
27,59,R50H05/w,Ctrl,Green Light Off,0.1690382768205965
28,86,R50H05>ACR1,Test,Green Light Off,0.6616905198258249
29,173,R50H05>ACR1,Test,Green Light Off,
30,88,ACR1/w,Ctrl,Green Light Off,0.8550748007410184
31,89,R50H05/w,Ctrl,Green Light Off,0.0585357466245324
32,172,R50H05/w,Ctrl,Green Light Off,
33,171,R50H05/w,Ctrl,Green Light Off,
34,170,ACR1/w,Ctrl,Green Light Off,
35,169,R50H05/w,Ctrl,Green Light Off,
36,168,ACR1/w,Ctrl,Green Light Off,
37,167,R50H05>ACR1,Test,Green Light Off,
38,166,R50H05/w,Ctrl,Green Light Off,
39,108,R50H05>ACR1,Test,Green Light Off,0.3730261716188947
40,107,R50H05/w,Ctrl,Green Light Off,0.2006069512482401
41,106,ACR1/w,Ctrl,Green Light Off,0.198418089537353
42,105,R50H05>ACR1,Test,Green Light Off,0.191695997020197
43,60,R50H05>ACR1,Test,Green Light Off,0.4124103310458867
44,103,ACR1/w,Ctrl,Green Light Off,0.6054881379854683
45,104,ACR1/w,Ctrl,Green Light Off,0.4660255004054296
46,101,ACR1/w,Ctrl,Green Light Off,0.1508994063841337
47,100,R50H05>ACR1,Test,Green Light Off,0.2564635604897521
48,99,R50H05/w,Ctrl,Green Light Off,0.3473713929009798
49,98,ACR1/w,Ctrl,Green Light Off,0.2359221574422092
50,97,R50H05>ACR1,Test,Green Light Off,0.1837657484289389
51,96,R50H05/w,Ctrl,Green Light Off,0.060983743366953
52,95,ACR1/w,Ctrl,Green Light Off,0.2984838270813169
53,94,R50H05>ACR1,Test,Green Light Off,0.4073502343946703
54,93,R50H05/w,Ctrl,Green Light Off,0.3588962869361083
55,92,R50H05>ACR1,Test,Green Light Off,0.512096589955878
56,91,R50H05>ACR1,Test,Green Light Off,1.721295402016013
57,90,R50H05/w,Ctrl,Green Light Off,0.3996153584574554
58,102,R50H05>ACR1,Test,Green Light Off,0.4633048720519632
59,61,ACR1/w,Ctrl,Green Light Off,0.8635527245454339
60,116,R50H05/w,Ctrl,Green Light On,0.1981337074834517
61,115,R50H05>ACR1,Test,Green Light On,0.6176959819053361
62,117,ACR1/w,Ctrl,Green Light On,0.6710905290991026
63,118,R50H05/w,Ctrl,Green Light On,0.848266104963871
64,145,R50H05/w,Ctrl,Green Light On,
65,146,ACR1/w,Ctrl,Green Light On,
66,147,R50H05/w,Ctrl,Green Light On,
67,148,R50H05>ACR1,Test,Green Light On,
68,149,ACR1/w,Ctrl,Green Light On,
69,150,ACR1/w,Ctrl,Green Light On,
70,151,R50H05/w,Ctrl,Green Light On,
71,152,R50H05>ACR1,Test,Green Light On,
72,153,ACR1/w,Ctrl,Green Light On,
73,154,ACR1/w,Ctrl,Green Light On,
74,155,R50H05>ACR1,Test,Green Light On,
75,156,R50H05>ACR1,Test,Green Light On,
76,157,ACR1/w,Ctrl,Green Light On,
77,158,R50H05>ACR1,Test,Green Light On,
78,159,ACR1/w,Ctrl,Green Light On,
79,160,R50H05/w,Ctrl,Green Light On,
80,161,ACR1/w,Ctrl,Green Light On,
81,162,R50H05/w,Ctrl,Green Light On,
82,163,R50H05>ACR1,Test,Green Light On,
83,164,R50H05/w,Ctrl,Green Light On,
84,165,R50H05>ACR1,Test,Green Light On,
85,144,ACR1/w,Ctrl,Green Light On,
86,143,R50H05/w,Ctrl,Green Light On,
87,142,ACR1/w,Ctrl,Green Light On,
