,index,Genotype,Status,Light,Perifeed Speed Ratio
0,119,Trhn/w,Ctrl,Green Light Off,0.873598568762907
1,124,Trhn>ACR1,Test,Green Light Off,0.9174177902767858
2,125,Trhn>ACR1,Test,Green Light Off,0.963022030858587
3,126,ACR1/w,Ctrl,Green Light Off,0.4260040995610266
4,127,Trhn/w,Ctrl,Green Light Off,0.8359126475104955
5,128,Trhn>ACR1,Test,Green Light Off,0.9298240068550216
6,129,ACR1/w,Ctrl,Green Light Off,0.8862171198815654
7,130,Trhn/w,Ctrl,Green Light Off,0.9513913562591004
8,131,Trhn>ACR1,Test,Green Light Off,0.9605534790057147
9,150,ACR1/w,Ctrl,Green Light Off,0.7938870622867514
10,151,Trhn/w,Ctrl,Green Light Off,0.9792390028407104
11,152,Trhn/w,Ctrl,Green Light Off,0.9182876835272392
12,153,Trhn>ACR1,Test,Green Light Off,0.163686044097029
13,154,Trhn>ACR1,Test,Green Light Off,1.7396087534904314
14,155,Trhn/w,Ctrl,Green Light Off,0.9459736352682128
15,156,Trhn/w,Ctrl,Green Light Off,0.8638169914901
16,157,Trhn>ACR1,Test,Green Light Off,0.2298376866546642
17,158,Trhn/w,Ctrl,Green Light Off,0.769530780346669
18,123,Trhn/w,Ctrl,Green Light Off,0.8104595593866475
19,159,Trhn>ACR1,Test,Green Light Off,0.2641921226601247
20,122,Trhn>ACR1,Test,Green Light Off,0.9357501147688594
21,120,Trhn>ACR1,Test,Green Light Off,0.9958095195203124
22,86,ACR1/w,Ctrl,Green Light Off,0.9207874254891028
23,87,Trhn/w,Ctrl,Green Light Off,0.8792741442674149
24,88,Trhn>ACR1,Test,Green Light Off,1.0141915672886943
25,89,ACR1/w,Ctrl,Green Light Off,1.0743595868854676
26,90,Trhn/w,Ctrl,Green Light Off,0.987263269825456
27,91,Trhn>ACR1,Test,Green Light Off,1.0270231748830965
28,109,ACR1/w,Ctrl,Green Light Off,1.0661622109609417
29,110,Trhn/w,Ctrl,Green Light Off,0.8997669743915987
30,111,Trhn>ACR1,Test,Green Light Off,0.9929529230516898
31,112,Trhn/w,Ctrl,Green Light Off,0.902350320916709
32,113,Trhn>ACR1,Test,Green Light Off,0.9578638337635832
33,114,Trhn/w,Ctrl,Green Light Off,0.951432313344409
34,115,Trhn>ACR1,Test,Green Light Off,0.915016302731018
35,116,Trhn/w,Ctrl,Green Light Off,0.8023036466860305
36,117,Trhn/w,Ctrl,Green Light Off,1.0341344203457747
37,118,Trhn>ACR1,Test,Green Light Off,2.495769586478943
38,238,Trhn>ACR1,Test,Green Light Off,
39,121,Trhn/w,Ctrl,Green Light Off,0.9810601625028604
40,160,Trhn/w,Ctrl,Green Light Off,0.9203135340981848
41,161,Trhn>ACR1,Test,Green Light Off,0.9732801096255784
42,162,ACR1/w,Ctrl,Green Light Off,1.0065911068130466
43,209,ACR1/w,Ctrl,Green Light Off,
44,210,ACR1/w,Ctrl,Green Light Off,
45,211,ACR1/w,Ctrl,Green Light Off,
46,212,ACR1/w,Ctrl,Green Light Off,
47,213,ACR1/w,Ctrl,Green Light Off,
48,226,Trhn>ACR1,Test,Green Light Off,
49,227,ACR1/w,Ctrl,Green Light Off,
50,228,ACR1/w,Ctrl,Green Light Off,
51,229,Trhn>ACR1,Test,Green Light Off,
52,230,ACR1/w,Ctrl,Green Light Off,
53,231,Trhn/w,Ctrl,Green Light Off,
54,232,ACR1/w,Ctrl,Green Light Off,
55,233,Trhn>ACR1,Test,Green Light Off,
56,234,ACR1/w,Ctrl,Green Light Off,
57,235,Trhn/w,Ctrl,Green Light Off,
58,236,ACR1/w,Ctrl,Green Light Off,
59,237,ACR1/w,Ctrl,Green Light Off,
60,208,ACR1/w,Ctrl,Green Light Off,
61,207,ACR1/w,Ctrl,Green Light Off,
62,193,ACR1/w,Ctrl,Green Light Off,
63,192,Trhn/w,Ctrl,Green Light Off,
64,163,Trhn/w,Ctrl,Green Light Off,0.8244812119243528
65,164,Trhn/w,Ctrl,Green Light Off,0.8919585198487994
66,165,Trhn>ACR1,Test,Green Light Off,0.981844609033964
67,177,ACR1/w,Ctrl,Green Light Off,
68,178,Trhn>ACR1,Test,Green Light Off,
69,179,ACR1/w,Ctrl,Green Light Off,
70,180,ACR1/w,Ctrl,Green Light Off,
71,181,ACR1/w,Ctrl,Green Light Off,
72,85,ACR1/w,Ctrl,Green Light Off,0.9122946158962808
73,182,ACR1/w,Ctrl,Green Light Off,
74,184,Trhn>ACR1,Test,Green Light Off,
75,185,ACR1/w,Ctrl,Green Light Off,
76,186,Trhn/w,Ctrl,Green Light Off,
77,187,Trhn>ACR1,Test,Green Light Off,
78,188,ACR1/w,Ctrl,Green Light Off,
79,189,Trhn>ACR1,Test,Green Light Off,
80,190,ACR1/w,Ctrl,Green Light Off,
81,191,ACR1/w,Ctrl,Green Light Off,
82,183,Trhn/w,Ctrl,Green Light Off,
83,84,Trhn>ACR1,Test,Green Light Off,0.940711553198022
84,239,ACR1/w,Ctrl,Green Light Off,
