,index,Genotype,Status,Volume
0,119,Trhn/w,Ctrl,77.134
1,124,Trhn>ACR1,Test,118.452
2,125,Trhn>ACR1,Test,123.712
3,126,ACR1/w,Ctrl,26.589000000000002
4,127,Trhn/w,Ctrl,211.934
5,128,Trhn>ACR1,Test,196.103
6,129,ACR1/w,Ctrl,85.81
7,130,Trhn/w,Ctrl,210.519
8,131,Trhn>ACR1,Test,151.69299999999998
9,150,ACR1/w,Ctrl,54.55200000000001
10,151,Trhn/w,Ctrl,96.655
11,152,Trhn/w,Ctrl,180.489
12,153,Trhn>ACR1,Test,84.003
13,154,Trhn>ACR1,Test,15.15
14,155,Trhn/w,Ctrl,116.888
15,156,Trhn/w,Ctrl,123.491
16,157,Trhn>ACR1,Test,2.384
17,158,Trhn/w,Ctrl,101.9969999999999
18,123,Trhn/w,Ctrl,120.49300000000001
19,159,Trhn>ACR1,Test,2.593
20,122,Trhn>ACR1,Test,62.727000000000004
21,120,Trhn>ACR1,Test,83.259
22,86,ACR1/w,Ctrl,15.969000000000001
23,87,Trhn/w,Ctrl,227.94400000000002
24,88,Trhn>ACR1,Test,88.749
25,89,ACR1/w,Ctrl,83.513
26,90,Trhn/w,Ctrl,198.717
27,91,Trhn>ACR1,Test,127.53500000000001
28,109,ACR1/w,Ctrl,98.297
29,110,Trhn/w,Ctrl,137.203
30,111,Trhn>ACR1,Test,173.516
31,112,Trhn/w,Ctrl,125.13099999999999
32,113,Trhn>ACR1,Test,102.262
33,114,Trhn/w,Ctrl,89.75099999999999
34,115,Trhn>ACR1,Test,127.62100000000001
35,116,Trhn/w,Ctrl,201.28799999999998
36,117,Trhn/w,Ctrl,122.391
37,118,Trhn>ACR1,Test,11.996
38,238,Trhn>ACR1,Test,0.0
39,121,Trhn/w,Ctrl,144.662
40,160,Trhn/w,Ctrl,34.915
41,161,Trhn>ACR1,Test,223.904
42,162,ACR1/w,Ctrl,143.701
43,209,ACR1/w,Ctrl,0.0
44,210,ACR1/w,Ctrl,0.0
45,211,ACR1/w,Ctrl,0.0
46,212,ACR1/w,Ctrl,0.0
47,213,ACR1/w,Ctrl,0.0
48,226,Trhn>ACR1,Test,0.0
49,227,ACR1/w,Ctrl,0.0
50,228,ACR1/w,Ctrl,0.0
51,229,Trhn>ACR1,Test,0.0
52,230,ACR1/w,Ctrl,0.0
53,231,Trhn/w,Ctrl,0.0
54,232,ACR1/w,Ctrl,0.0
55,233,Trhn>ACR1,Test,0.0
56,234,ACR1/w,Ctrl,0.0
57,235,Trhn/w,Ctrl,0.0
58,236,ACR1/w,Ctrl,0.0
59,237,ACR1/w,Ctrl,0.0
60,208,ACR1/w,Ctrl,0.0
61,207,ACR1/w,Ctrl,0.0
62,193,ACR1/w,Ctrl,0.0
63,192,Trhn/w,Ctrl,0.0
64,163,Trhn/w,Ctrl,257.081
65,164,Trhn/w,Ctrl,137.054
66,165,Trhn>ACR1,Test,237.56199999999998
67,177,ACR1/w,Ctrl,0.0
68,178,Trhn>ACR1,Test,0.0
69,179,ACR1/w,Ctrl,0.0
70,180,ACR1/w,Ctrl,0.0
71,181,ACR1/w,Ctrl,0.0
72,85,ACR1/w,Ctrl,90.781
73,182,ACR1/w,Ctrl,0.0
74,184,Trhn>ACR1,Test,0.0
75,185,ACR1/w,Ctrl,0.0
76,186,Trhn/w,Ctrl,0.0
77,187,Trhn>ACR1,Test,0.0
78,188,ACR1/w,Ctrl,0.0
79,189,Trhn>ACR1,Test,0.0
80,190,ACR1/w,Ctrl,0.0
81,191,ACR1/w,Ctrl,0.0
82,183,Trhn/w,Ctrl,0.0
83,84,Trhn>ACR1,Test,328.49699999999996
84,239,ACR1/w,Ctrl,0.0
85,82,Trhn/w,Ctrl,63.391000000000005
86,71,Trhn>ACR1,Test,9.379999999999999
87,70,Trhn/w,Ctrl,97.52900000000001
88,69,Trhn>ACR1,Test,288.496
89,68,ACR1/w,Ctrl,195.394
90,67,Trhn>ACR1,Test,328.19100000000003
91,66,Trhn/w,Ctrl,151.612
92,65,ACR1/w,Ctrl,52.827
93,64,ACR1/w,Ctrl,162.365
