,index,Genotype,Status,Light,Perifeed Speed Ratio
0,0,Trhn>Chr,Test,Red Light Off,0.8849724196907426
1,87,Trhn>Chr,Test,Red Light Off,0.5879602180861746
2,86,Trhn>Chr,Test,Red Light Off,0.441712413262401
3,85,Trhn/w,Ctrl,Red Light Off,0.925412228942165
4,84,Trhn>Chr,Test,Red Light Off,0.8222485024106644
5,83,Trhn>Chr,Test,Red Light Off,2.0957447320519487
6,82,Trhn/w,Ctrl,Red Light Off,0.9686298498034396
7,81,Trhn>Chr,Test,Red Light Off,0.2337662095299181
8,80,Chr/w,Ctrl,Red Light Off,0.4505052955338376
9,79,Trhn/w,Ctrl,Red Light Off,0.9725293966023036
10,78,Chr/w,Ctrl,Red Light Off,0.6109136507080211
11,77,Trhn/w,Ctrl,Red Light Off,0.9283977966521864
12,76,Trhn/w,Ctrl,Red Light Off,
13,88,Trhn>Chr,Test,Red Light Off,0.5702252739246176
14,75,Trhn/w,Ctrl,Red Light Off,0.9880701018549636
15,73,Trhn>Chr,Test,Red Light Off,0.1209550172767937
16,72,Trhn>Chr,Test,Red Light Off,
17,71,Trhn>Chr,Test,Red Light Off,0.8985327174077924
18,70,Chr/w,Ctrl,Red Light Off,
19,69,Trhn/w,Ctrl,Red Light Off,0.8541268614986505
20,68,Chr/w,Ctrl,Red Light Off,2.8385171673868164
21,67,Chr/w,Ctrl,Red Light Off,0.5568188873688038
22,66,Trhn>Chr,Test,Red Light Off,
23,65,Trhn>Chr,Test,Red Light Off,
24,64,Chr/w,Ctrl,Red Light Off,0.5187395788812433
25,63,Trhn/w,Ctrl,Red Light Off,0.7397944656596648
26,62,Chr/w,Ctrl,Red Light Off,0.5214875640269961
27,74,Chr/w,Ctrl,Red Light Off,0.5290506080918148
28,89,Trhn>Chr,Test,Red Light Off,1.012948805701346
29,90,Trhn>Chr,Test,Red Light Off,0.1950102054119437
30,91,Trhn>Chr,Test,Red Light Off,0.7829230136703303
31,119,Trhn>Chr,Test,Red Light Off,0.7339796973793496
32,118,Trhn>Chr,Test,Red Light Off,0.1578377519004586
33,117,Trhn>Chr,Test,Red Light Off,0.607341387181811
34,116,Trhn>Chr,Test,Red Light Off,0.3096488890718977
35,115,Trhn>Chr,Test,Red Light Off,0.6590619227941208
36,114,Trhn>Chr,Test,Red Light Off,0.7889198081144093
37,113,Trhn>Chr,Test,Red Light Off,0.9016169317387996
38,112,Trhn>Chr,Test,Red Light Off,0.676766834672021
39,111,Trhn>Chr,Test,Red Light Off,0.2573678179362162
40,110,Chr/w,Ctrl,Red Light Off,0.5722079991569341
41,109,Trhn/w,Ctrl,Red Light Off,0.9866421346240396
42,108,Trhn>Chr,Test,Red Light Off,0.3645572432777162
43,107,Trhn>Chr,Test,Red Light Off,1.0051979834609823
44,106,Trhn>Chr,Test,Red Light Off,0.8792489173275619
45,105,Trhn/w,Ctrl,Red Light Off,1.1131254191326188
46,103,Trhn/w,Ctrl,Red Light Off,0.9339414099316774
47,102,Chr/w,Ctrl,Red Light Off,0.4996216098158629
48,101,Trhn>Chr,Test,Red Light Off,0.8495003701797985
49,100,Chr/w,Ctrl,Red Light Off,0.2135007240428125
50,99,Trhn/w,Ctrl,Red Light Off,0.9001871047106702
51,98,Trhn>Chr,Test,Red Light Off,0.6917218725759191
52,97,Trhn>Chr,Test,Red Light Off,0.1445134797946959
53,96,Trhn>Chr,Test,Red Light Off,0.5916232358621297
54,95,Trhn>Chr,Test,Red Light Off,0.9637758965757394
55,94,Chr/w,Ctrl,Red Light Off,1.6314463210025931
56,93,Trhn/w,Ctrl,Red Light Off,0.9980895744865768
57,92,Trhn>Chr,Test,Red Light Off,0.3779100346074352
58,61,Trhn/w,Ctrl,Red Light Off,0.918923599769683
59,60,Chr/w,Ctrl,Red Light Off,0.3747578227333739
60,104,Chr/w,Ctrl,Red Light Off,0.4152396688081389
61,58,Trhn/w,Ctrl,Red Light Off,4.099372670011496
62,26,Chr/w,Ctrl,Red Light Off,
63,25,Trhn/w,Ctrl,Red Light Off,0.3494552538763255
64,24,Chr/w,Ctrl,Red Light Off,
65,23,Trhn>Chr,Test,Red Light Off,0.5743628797837014
66,22,Trhn>Chr,Test,Red Light Off,0.5110383930768806
67,21,Trhn>Chr,Test,Red Light Off,0.951688455244239
68,20,Trhn>Chr,Test,Red Light Off,0.4071724685778106
69,19,Trhn>Chr,Test,Red Light Off,0.3590372326541828
70,18,Trhn/w,Ctrl,Red Light Off,0.6530568489731353
71,17,Chr/w,Ctrl,Red Light Off,
72,16,Chr/w,Ctrl,Red Light Off,0.203489979872141
73,15,Chr/w,Ctrl,Red Light Off,0.5582481016104933
74,27,Chr/w,Ctrl,Red Light Off,
75,14,Trhn/w,Ctrl,Red Light Off,0.9723573518968248
76,12,Trhn/w,Ctrl,Red Light Off,0.9343731473679526
77,11,Chr/w,Ctrl,Red Light Off,1.270781269819067
78,10,Chr/w,Ctrl,Red Light Off,
79,8,Chr/w,Ctrl,Red Light Off,0.6829357041106934
80,7,Trhn/w,Ctrl,Red Light Off,0.4953549529316233
81,6,Trhn/w,Ctrl,Red Light Off,0.0826156340963394
82,5,Chr/w,Ctrl,Red Light Off,0.3259696416075305
83,4,Trhn/w,Ctrl,Red Light Off,0.7056070101377622
84,3,Trhn/w,Ctrl,Red Light Off,1.296957946441595
85,2,Chr/w,Ctrl,Red Light Off,0.3447448613306699
86,1,Trhn/w,Ctrl,Red Light Off,0.3043290240592672
87,59,Trhn/w,Ctrl,Red Light Off,0.9891811260080712
88,13,Chr/w,Ctrl,Red Light Off,0.2527949004541298
89,28,Trhn/w,Ctrl,Red Light Off,
90,9,Trhn>Chr,Test,Red Light Off,
91,30,Chr/w,Ctrl,Red Light Off,
92,57,Trhn/w,Ctrl,Red Light Off,0.955592036051604
93,29,Chr/w,Ctrl,Red Light Off,
94,56,Chr/w,Ctrl,Red Light Off,0.5469672203426936
95,55,Trhn/w,Ctrl,Red Light Off,1.0896783384722637
96,54,Trhn/w,Ctrl,Red Light Off,0.6675827498945807
97,53,Chr/w,Ctrl,Red Light Off,0.8849337926446177
98,51,Trhn/w,Ctrl,Red Light Off,0.927942343538463
99,50,Chr/w,Ctrl,Red Light Off,0.7401253194674489
100,49,Trhn/w,Ctrl,Red Light Off,0.5291817666123901
101,48,Chr/w,Ctrl,Red Light Off,0.6531520948639312
102,47,Trhn/w,Ctrl,Red Light Off,1.200565909702235
103,46,Trhn/w,Ctrl,Red Light Off,1.0274016593226396
104,45,Chr/w,Ctrl,Red Light Off,0.8451389740461568
105,44,Trhn/w,Ctrl,Red Light Off,1.0553028257151813
106,52,Chr/w,Ctrl,Red Light Off,5.060695353854238
107,35,Trhn/w,Ctrl,Red Light Off,0.959372365721761
108,42,Chr/w,Ctrl,Red Light Off,0.8247416598908528
109,41,Trhn/w,Ctrl,Red Light Off,0.9849788608164306
110,40,Trhn/w,Ctrl,Red Light Off,0.98311849326317
111,32,Trhn/w,Ctrl,Red Light Off,0.1138784682537611
112,39,Chr/w,Ctrl,Red Light Off,0.1014325857760222
113,38,Trhn/w,Ctrl,Red Light Off,0.1087842801177295
114,37,Chr/w,Ctrl,Red Light Off,0.8431436106037742
115,36,Chr/w,Ctrl,Red Light Off,0.2933025473739013
116,34,Trhn/w,Ctrl,Red Light Off,1.0132882851595062
117,33,Chr/w,Ctrl,Red Light Off,
118,43,Trhn/w,Ctrl,Red Light Off,1.098065017539262
119,31,Chr/w,Ctrl,Red Light Off,
120,239,Chr/w,Ctrl,Red Light On,0.928186311520377
121,238,Trhn/w,Ctrl,Red Light On,0.8878974171345418
122,251,Trhn/w,Ctrl,Red Light On,1.096899609054983
123,236,Trhn/w,Ctrl,Red Light On,0.8652690395435026
124,240,Chr/w,Ctrl,Red Light On,0.4197170852340341
125,235,Trhn/w,Ctrl,Red Light On,0.8970165432430164
126,234,Chr/w,Ctrl,Red Light On,0.0793875193405089
127,237,Chr/w,Ctrl,Red Light On,0.4489871910434904
128,241,Chr/w,Ctrl,Red Light On,
129,246,Chr/w,Ctrl,Red Light On,0.4107041451794886
130,243,Trhn/w,Ctrl,Red Light On,
131,244,Chr/w,Ctrl,Red Light On,
132,245,Trhn/w,Ctrl,Red Light On,0.9651911999240312
133,247,Trhn>Chr,Test,Red Light On,0.7780326592146583
134,248,Trhn/w,Ctrl,Red Light On,0.9529938525555168
135,249,Trhn/w,Ctrl,Red Light On,0.8457613316057426
136,233,Trhn/w,Ctrl,Red Light On,0.9559305004134612
137,250,Chr/w,Ctrl,Red Light On,0.126372307061198
138,242,Chr/w,Ctrl,Red Light On,0.549047996652996
139,232,Trhn/w,Ctrl,Red Light On,0.661237290992995
140,218,Trhn/w,Ctrl,Red Light On,0.9008176978828926
141,230,Chr/w,Ctrl,Red Light On,0.3413300886443149
142,211,Chr/w,Ctrl,Red Light On,
143,252,Trhn/w,Ctrl,Red Light On,0.9222425038113546
144,212,Trhn/w,Ctrl,Red Light On,
145,213,Trhn/w,Ctrl,Red Light On,1.0542148073109834
146,214,Chr/w,Ctrl,Red Light On,0.2563105848134812
147,215,Trhn/w,Ctrl,Red Light On,0.7159520546549545
148,216,Chr/w,Ctrl,Red Light On,0.5357268666132479
149,217,Chr/w,Ctrl,Red Light On,0.4579065034200337
150,219,Chr/w,Ctrl,Red Light On,0.3105354306074538
151,220,Trhn/w,Ctrl,Red Light On,0.907705175362988
152,221,Trhn/w,Ctrl,Red Light On,0.9120638969118732
153,222,Chr/w,Ctrl,Red Light On,0.8518906238019808
154,223,Trhn/w,Ctrl,Red Light On,0.9855936360568178
155,224,Trhn/w,Ctrl,Red Light On,0.9630922637400224
156,225,Chr/w,Ctrl,Red Light On,0.4879673019063593
157,226,Trhn/w,Ctrl,Red Light On,0.8442477801706401
158,227,Chr/w,Ctrl,Red Light On,0.3133426219461392
159,228,Chr/w,Ctrl,Red Light On,1.0529114476924666
160,229,Trhn/w,Ctrl,Red Light On,0.4134813301176569
161,231,Trhn/w,Ctrl,Red Light On,0.8938387352855499
162,253,Trhn/w,Ctrl,Red Light On,0.083690128286786
163,283,Trhn/w,Ctrl,Red Light On,0.4679728492240239
164,255,Trhn/w,Ctrl,Red Light On,0.2674149218650834
165,279,Trhn/w,Ctrl,Red Light On,0.7512671874735354
166,280,Trhn/w,Ctrl,Red Light On,0.3876284207165161
167,281,Chr/w,Ctrl,Red Light On,0.3085018740559483
168,282,Trhn/w,Ctrl,Red Light On,0.403787782410575
169,284,Chr/w,Ctrl,Red Light On,1.085278115300385
170,285,Trhn/w,Ctrl,Red Light On,0.4282979121684251
171,286,Chr/w,Ctrl,Red Light On,0.0682849493251245
172,287,Chr/w,Ctrl,Red Light On,
173,288,Chr/w,Ctrl,Red Light On,
174,289,Chr/w,Ctrl,Red Light On,
175,290,Chr/w,Ctrl,Red Light On,
176,291,Chr/w,Ctrl,Red Light On,
177,292,Chr/w,Ctrl,Red Light On,0.1806458514694054
178,293,Trhn/w,Ctrl,Red Light On,0.9777696271842148
