,Genotype,Light,Status,Volume,Meal Size,Count,date,ID,Calculated Volume (Meal Size x Count)
0,Trhn>Chr,Red Light Off,Test,338.56199999999995,33.8561999999999,10.0,2020-11-03_12-33-55,15,338.561999999999
1,Trhn>Chr,Red Light Off,Test,316.539,79.13475,4.0,2020-11-03_12-33-55,29,316.539
2,Trhn>Chr,Red Light Off,Test,293.283,146.6415,2.0,2019-04-27_17-20-05,7,293.283
3,Trhn/w,Red Light Off,Ctrl,471.262,9.42524,50.0,2020-11-03_12-33-55,19,471.262
4,Trhn>Chr,Red Light Off,Test,151.198,75.599,2.0,2020-11-12_16-14-48,5,151.198
5,Trhn>Chr,Red Light Off,Test,520.371,260.1855,2.0,2019-04-27_17-20-05,18,520.371
6,Trhn/w,Red Light Off,Ctrl,88.764,14.794,6.0,2020-11-03_12-33-55,25,88.76400000000001
7,Trhn>Chr,Red Light Off,Test,347.11199999999997,69.4224,5.0,2019-04-27_17-20-05,21,347.11199999999997
8,Chr/w,Red Light Off,Ctrl,321.959,15.3313809523809,21.0,2020-11-03_12-33-55,1,321.9589999999989
9,Trhn/w,Red Light Off,Ctrl,174.80599999999998,5.1413529411764,34.0,2020-11-03_12-33-55,11,174.8059999999976
10,Chr/w,Red Light Off,Ctrl,208.363,12.2566470588235,17.0,2020-11-03_12-33-55,13,208.3629999999995
11,Trhn/w,Red Light Off,Ctrl,373.985,33.9986363636363,11.0,2020-11-03_12-33-55,14,373.98499999999933
12,Trhn/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,27,0.0
13,Trhn>Chr,Red Light Off,Test,254.649,127.3245,2.0,2020-11-12_16-14-48,22,254.649
14,Trhn/w,Red Light Off,Ctrl,283.178,3.8791506849315,73.0,2020-11-03_12-33-55,16,283.1779999999995
15,Trhn>Chr,Red Light Off,Test,245.836,245.836,1.0,2019-04-29_14-47-32,19,245.836
16,Trhn>Chr,Red Light Off,Test,0.0,0.0,0.0,2020-11-12_16-14-48,8,0.0
17,Trhn>Chr,Red Light Off,Test,291.094,26.4630909090909,11.0,2020-11-03_12-33-55,3,291.09399999999994
18,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-03_12-33-55,21,0.0
19,Trhn/w,Red Light Off,Ctrl,531.5029999999999,12.654833333333299,42.0,2019-04-27_17-20-05,15,531.5029999999986
