,index,Genotype,Status,Volume
0,0,Trhn>Chr,Test,338.56199999999995
1,87,Trhn>Chr,Test,316.539
2,86,Trhn>Chr,Test,293.283
3,85,Trhn/w,Ctrl,471.262
4,84,Trhn>Chr,Test,151.198
5,83,Trhn>Chr,Test,520.371
6,82,Trhn/w,Ctrl,88.764
7,81,Trhn>Chr,Test,347.11199999999997
8,80,Chr/w,Ctrl,321.959
9,79,Trhn/w,Ctrl,174.80599999999998
10,78,Chr/w,Ctrl,208.363
11,77,Trhn/w,Ctrl,373.985
12,76,Trhn/w,Ctrl,0.0
13,88,Trhn>Chr,Test,254.649
14,75,Trhn/w,Ctrl,283.178
15,73,Trhn>Chr,Test,245.836
16,72,Trhn>Chr,Test,0.0
17,71,Trhn>Chr,Test,291.094
18,70,Chr/w,Ctrl,0.0
19,69,Trhn/w,Ctrl,531.5029999999999
20,68,Chr/w,Ctrl,265.50600000000003
21,67,Chr/w,Ctrl,307.11
22,66,Trhn>Chr,Test,0.0
23,65,Trhn>Chr,Test,0.0
24,64,Chr/w,Ctrl,217.12699999999998
25,63,Trhn/w,Ctrl,329.113
26,62,Chr/w,Ctrl,90.629
27,74,Chr/w,Ctrl,3.2720000000000002
28,89,Trhn>Chr,Test,462.738
29,90,Trhn>Chr,Test,287.24099999999993
30,91,Trhn>Chr,Test,206.00199999999998
31,119,Trhn>Chr,Test,232.138
32,118,Trhn>Chr,Test,353.2869999999999
33,117,Trhn>Chr,Test,189.826
34,116,Trhn>Chr,Test,309.678
35,115,Trhn>Chr,Test,384.08
36,114,Trhn>Chr,Test,250.43900000000002
37,113,Trhn>Chr,Test,331.263
38,112,Trhn>Chr,Test,198.354
39,111,Trhn>Chr,Test,307.223
40,110,Chr/w,Ctrl,192.69
41,109,Trhn/w,Ctrl,162.804
42,108,Trhn>Chr,Test,8.586
43,107,Trhn>Chr,Test,3.478
44,106,Trhn>Chr,Test,262.215
45,105,Trhn/w,Ctrl,158.07299999999998
46,103,Trhn/w,Ctrl,287.251
47,102,Chr/w,Ctrl,103.129
48,101,Trhn>Chr,Test,316.971
49,100,Chr/w,Ctrl,322.54699999999997
50,99,Trhn/w,Ctrl,257.005
51,98,Trhn>Chr,Test,198.574
52,97,Trhn>Chr,Test,222.04299999999998
53,96,Trhn>Chr,Test,247.372
54,95,Trhn>Chr,Test,301.42999999999995
55,94,Chr/w,Ctrl,232.97799999999998
56,93,Trhn/w,Ctrl,259.77
57,92,Trhn>Chr,Test,166.024
58,61,Trhn/w,Ctrl,177.611
59,60,Chr/w,Ctrl,175.16799999999998
60,104,Chr/w,Ctrl,229.854
61,58,Trhn/w,Ctrl,224.108
62,26,Chr/w,Ctrl,0.0
63,25,Trhn/w,Ctrl,184.778
64,24,Chr/w,Ctrl,0.0
65,23,Trhn>Chr,Test,190.748
66,22,Trhn>Chr,Test,259.584
67,21,Trhn>Chr,Test,303.203
68,20,Trhn>Chr,Test,343.235
69,19,Trhn>Chr,Test,268.106
70,18,Trhn/w,Ctrl,256.461
71,17,Chr/w,Ctrl,0.0
72,16,Chr/w,Ctrl,272.171
73,15,Chr/w,Ctrl,325.001
74,27,Chr/w,Ctrl,0.0
75,14,Trhn/w,Ctrl,240.95
76,12,Trhn/w,Ctrl,331.312
77,11,Chr/w,Ctrl,252.14700000000002
78,10,Chr/w,Ctrl,0.0
79,8,Chr/w,Ctrl,172.2469999999999
80,7,Trhn/w,Ctrl,274.8379999999999
81,6,Trhn/w,Ctrl,210.441
82,5,Chr/w,Ctrl,201.30100000000002
83,4,Trhn/w,Ctrl,158.128
84,3,Trhn/w,Ctrl,261.09
85,2,Chr/w,Ctrl,475.008
86,1,Trhn/w,Ctrl,364.212
87,59,Trhn/w,Ctrl,138.237
88,13,Chr/w,Ctrl,354.75
89,28,Trhn/w,Ctrl,0.0
90,9,Trhn>Chr,Test,0.0
91,30,Chr/w,Ctrl,0.0
92,57,Trhn/w,Ctrl,300.76399999999995
93,29,Chr/w,Ctrl,0.0
94,56,Chr/w,Ctrl,283.4669999999999
95,55,Trhn/w,Ctrl,447.33
96,54,Trhn/w,Ctrl,392.363
97,53,Chr/w,Ctrl,172.08
98,51,Trhn/w,Ctrl,236.40900000000002
99,50,Chr/w,Ctrl,108.699
100,49,Trhn/w,Ctrl,313.35200000000003
101,48,Chr/w,Ctrl,149.498
102,47,Trhn/w,Ctrl,118.103
103,46,Trhn/w,Ctrl,402.818
104,45,Chr/w,Ctrl,311.616
105,44,Trhn/w,Ctrl,292.2
106,52,Chr/w,Ctrl,9.922
107,35,Trhn/w,Ctrl,146.91000000000003
108,42,Chr/w,Ctrl,210.505
109,41,Trhn/w,Ctrl,176.7729999999999
110,40,Trhn/w,Ctrl,114.895
111,32,Trhn/w,Ctrl,435.851
112,39,Chr/w,Ctrl,178.482
113,38,Trhn/w,Ctrl,274.871
114,37,Chr/w,Ctrl,257.49699999999996
115,36,Chr/w,Ctrl,94.316
116,34,Trhn/w,Ctrl,264.278
117,33,Chr/w,Ctrl,0.0
118,43,Trhn/w,Ctrl,264.903
119,31,Chr/w,Ctrl,0.0
120,239,Chr/w,Ctrl,161.5329999999999
121,238,Trhn/w,Ctrl,143.2449999999999
122,251,Trhn/w,Ctrl,275.169
123,236,Trhn/w,Ctrl,348.15299999999996
124,240,Chr/w,Ctrl,257.322
125,235,Trhn/w,Ctrl,338.451
126,234,Chr/w,Ctrl,134.492
127,237,Chr/w,Ctrl,189.416
128,241,Chr/w,Ctrl,0.0
129,246,Chr/w,Ctrl,47.029
130,243,Trhn/w,Ctrl,0.0
131,244,Chr/w,Ctrl,0.0
132,245,Trhn/w,Ctrl,384.79599999999994
133,247,Trhn>Chr,Test,178.841
134,248,Trhn/w,Ctrl,228.39299999999992
135,249,Trhn/w,Ctrl,217.115
136,233,Trhn/w,Ctrl,317.698
137,250,Chr/w,Ctrl,143.263
138,242,Chr/w,Ctrl,325.612
139,232,Trhn/w,Ctrl,358.399
140,218,Trhn/w,Ctrl,442.235
141,230,Chr/w,Ctrl,291.874
142,211,Chr/w,Ctrl,0.0
143,252,Trhn/w,Ctrl,334.87600000000003
144,212,Trhn/w,Ctrl,0.0
145,213,Trhn/w,Ctrl,49.965
146,214,Chr/w,Ctrl,203.55
147,215,Trhn/w,Ctrl,103.70400000000001
148,216,Chr/w,Ctrl,485.154
149,217,Chr/w,Ctrl,171.676
150,219,Chr/w,Ctrl,323.886
151,220,Trhn/w,Ctrl,523.454
152,221,Trhn/w,Ctrl,403.77299999999997
153,222,Chr/w,Ctrl,199.172
154,223,Trhn/w,Ctrl,398.609
155,224,Trhn/w,Ctrl,319.743
156,225,Chr/w,Ctrl,200.963
157,226,Trhn/w,Ctrl,444.465
158,227,Chr/w,Ctrl,192.23000000000002
159,228,Chr/w,Ctrl,277.717
160,229,Trhn/w,Ctrl,359.995
161,231,Trhn/w,Ctrl,468.165
162,253,Trhn/w,Ctrl,129.447
163,283,Trhn/w,Ctrl,385.38800000000003
164,255,Trhn/w,Ctrl,442.096
165,279,Trhn/w,Ctrl,372.85400000000004
166,280,Trhn/w,Ctrl,521.8159999999999
167,281,Chr/w,Ctrl,140.426
168,282,Trhn/w,Ctrl,1093.251
169,284,Chr/w,Ctrl,235.375
170,285,Trhn/w,Ctrl,348.443
171,286,Chr/w,Ctrl,226.536
172,287,Chr/w,Ctrl,0.0
173,288,Chr/w,Ctrl,0.0
174,289,Chr/w,Ctrl,0.0
175,290,Chr/w,Ctrl,0.0
176,291,Chr/w,Ctrl,0.0
177,292,Chr/w,Ctrl,191.38
178,293,Trhn/w,Ctrl,202.793
179,294,Trhn/w,Ctrl,252.571
180,295,Chr/w,Ctrl,429.20799999999997
181,296,Chr/w,Ctrl,73.24300000000001
182,297,Chr/w,Ctrl,44.447
183,210,Chr/w,Ctrl,0.0
184,278,Chr/w,Ctrl,549.3220000000001
185,254,Chr/w,Ctrl,151.225
186,277,Chr/w,Ctrl,0.0
187,275,Chr/w,Ctrl,0.0
188,256,Trhn/w,Ctrl,244.2
189,257,Chr/w,Ctrl,125.79599999999999
190,258,Chr/w,Ctrl,357.36899999999997
191,259,Trhn/w,Ctrl,147.98600000000002
192,260,Trhn/w,Ctrl,151.048
193,261,Chr/w,Ctrl,133.3919999999999
194,262,Trhn/w,Ctrl,211.941
195,263,Trhn/w,Ctrl,80.023
196,264,Trhn/w,Ctrl,1.52
197,265,Chr/w,Ctrl,285.221
198,266,Chr/w,Ctrl,178.863
199,267,Trhn/w,Ctrl,146.198
200,268,Trhn/w,Ctrl,170.12199999999999
201,269,Trhn/w,Ctrl,433.17699999999996
202,270,Trhn/w,Ctrl,294.79100000000005
203,271,Chr/w,Ctrl,1.661
