,index,Genotype,Status,Light,Volume
0,6,R50H05/w,Ctrl,Red Light Off,0.0
1,7,R50H05/w,Ctrl,Red Light Off,168.108
2,9,Chr/w,Ctrl,Red Light Off,190.90099999999998
3,10,R50H05/w,Ctrl,Red Light Off,104.45100000000001
4,11,Chr/w,Ctrl,Red Light Off,201.2999999999999
5,12,R50H05/w,Ctrl,Red Light Off,134.952
6,13,R50H05/w,Ctrl,Red Light Off,217.44
7,14,R50H05/w,Ctrl,Red Light Off,210.31
8,15,Chr/w,Ctrl,Red Light Off,159.79399999999998
9,17,R50H05/w,Ctrl,Red Light Off,144.426
10,22,Chr/w,Ctrl,Red Light Off,0.0
11,23,R50H05/w,Ctrl,Red Light Off,299.875
12,25,Chr/w,Ctrl,Red Light Off,142.926
13,26,R50H05/w,Ctrl,Red Light Off,42.132000000000005
14,27,Chr/w,Ctrl,Red Light Off,93.7949999999999
15,28,Chr/w,Ctrl,Red Light Off,418.779
16,29,R50H05/w,Ctrl,Red Light Off,123.595
17,0,R50H05>Chr,Test,Red Light Off,240.145
18,1,R50H05>Chr,Test,Red Light Off,488.608
19,2,R50H05>Chr,Test,Red Light Off,226.829
20,3,R50H05>Chr,Test,Red Light Off,132.67999999999998
21,4,R50H05>Chr,Test,Red Light Off,97.14699999999999
22,5,R50H05>Chr,Test,Red Light Off,0.0
23,8,R50H05>Chr,Test,Red Light Off,277.02500000000003
24,16,R50H05>Chr,Test,Red Light Off,156.769
25,18,R50H05>Chr,Test,Red Light Off,107.435
26,19,R50H05>Chr,Test,Red Light Off,37.342
27,20,R50H05>Chr,Test,Red Light Off,17.169
28,21,R50H05>Chr,Test,Red Light Off,190.5899999999999
29,24,R50H05>Chr,Test,Red Light Off,255.23200000000003
30,54,Chr/w,Ctrl,Red Light On,389.677
31,56,Chr/w,Ctrl,Red Light On,199.466
32,57,Chr/w,Ctrl,Red Light On,0.0
33,58,Chr/w,Ctrl,Red Light On,0.0
34,59,Chr/w,Ctrl,Red Light On,0.0
35,60,Chr/w,Ctrl,Red Light On,0.0
36,61,R50H05/w,Ctrl,Red Light On,0.0
37,62,R50H05/w,Ctrl,Red Light On,224.50400000000002
38,63,R50H05/w,Ctrl,Red Light On,77.122
39,64,Chr/w,Ctrl,Red Light On,279.101
40,65,R50H05/w,Ctrl,Red Light On,206.582
41,66,Chr/w,Ctrl,Red Light On,153.122
42,67,R50H05/w,Ctrl,Red Light On,242.917
43,68,Chr/w,Ctrl,Red Light On,112.518
44,69,R50H05/w,Ctrl,Red Light On,60.626
45,70,R50H05/w,Ctrl,Red Light On,71.78099999999999
46,72,Chr/w,Ctrl,Red Light On,2.657
47,73,Chr/w,Ctrl,Red Light On,174.9969999999999
48,74,R50H05/w,Ctrl,Red Light On,125.24099999999999
49,75,Chr/w,Ctrl,Red Light On,42.541000000000004
50,76,Chr/w,Ctrl,Red Light On,235.13899999999998
51,77,R50H05/w,Ctrl,Red Light On,13.871
52,78,Chr/w,Ctrl,Red Light On,414.352
53,80,R50H05/w,Ctrl,Red Light On,54.46
54,81,R50H05/w,Ctrl,Red Light On,129.841
55,82,Chr/w,Ctrl,Red Light On,138.851
56,83,R50H05/w,Ctrl,Red Light On,37.11
57,84,R50H05/w,Ctrl,Red Light On,33.895
58,85,Chr/w,Ctrl,Red Light On,223.778
59,86,R50H05/w,Ctrl,Red Light On,14.293999999999999
60,87,Chr/w,Ctrl,Red Light On,281.24
61,88,R50H05/w,Ctrl,Red Light On,65.092
62,89,R50H05/w,Ctrl,Red Light On,284.82
63,30,R50H05>Chr,Test,Red Light On,344.855
64,31,R50H05>Chr,Test,Red Light On,245.551
65,32,R50H05>Chr,Test,Red Light On,45.097
66,33,R50H05>Chr,Test,Red Light On,2.047
67,34,R50H05>Chr,Test,Red Light On,0.0
68,35,R50H05>Chr,Test,Red Light On,0.0
69,36,R50H05>Chr,Test,Red Light On,2.053
70,37,R50H05>Chr,Test,Red Light On,100.209
71,38,R50H05>Chr,Test,Red Light On,398.075
72,39,R50H05>Chr,Test,Red Light On,329.52799999999996
73,40,R50H05>Chr,Test,Red Light On,364.647
74,41,R50H05>Chr,Test,Red Light On,77.465
75,42,R50H05>Chr,Test,Red Light On,72.323
76,43,R50H05>Chr,Test,Red Light On,320.81100000000004
77,44,R50H05>Chr,Test,Red Light On,170.736
78,45,R50H05>Chr,Test,Red Light On,593.468
79,46,R50H05>Chr,Test,Red Light On,259.602
80,47,R50H05>Chr,Test,Red Light On,322.075
81,48,R50H05>Chr,Test,Red Light On,293.517
82,49,R50H05>Chr,Test,Red Light On,264.91900000000004
83,50,R50H05>Chr,Test,Red Light On,57.499
84,51,R50H05>Chr,Test,Red Light On,30.21
85,52,R50H05>Chr,Test,Red Light On,745.2810000000001
86,53,R50H05>Chr,Test,Red Light On,537.3449999999999
87,55,R50H05>Chr,Test,Red Light On,494.365
88,71,R50H05>Chr,Test,Red Light On,65.192
89,79,R50H05>Chr,Test,Red Light On,312.99100000000004
