,ID,Status,Genotype,Sex,MinimumAge,MaximumAge,Food1,Food2,Temperature,#Flies,Starvedhrs,Date,averageSpeed_mm/s,xPosition_mm,yPosition_mm,inLeftPort,inRightPort,countLogDate,feedLogDate,GenoReduced,Light
0,1,Ctrl,w1118; uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.0756276253304295,1.8475184767538688,2.9862656312590565,0.0,0.0034733558869908926,2021-11-12_16-18-50,2021-11-12_16-18-54,Chr/w,Red Light On
1,2,Ctrl,w1118; r50h05-gal4,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.09018981357399773,10.588409718359879,12.630986729278149,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05/w,Red Light On
2,3,Test,r50h05-gal4>uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,1.1139910113329556,6.068046163693325,4.947563078842032,0.7558022410092183,0.5126673289198558,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05>Chr,Red Light On
3,4,Ctrl,w1118; uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.06606464596557907,8.979466144032807,8.106491738900742,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,Chr/w,Red Light On
4,5,Ctrl,w1118; r50h05-gal4,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.06926683123555746,0.8237914310495451,11.228214004790969,0.0,0.051405667127465214,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05/w,Red Light On
5,6,Test,r50h05-gal4>uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,1.4279028071990858,6.096599299735205,7.137718737993076,0.43903218411564887,0.5244767389356249,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05>Chr,Red Light On
6,7,Ctrl,w1118; uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.0603737680866624,6.477005488584181,4.836819454316163,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,Chr/w,Red Light On
7,8,Ctrl,w1118; r50h05-gal4,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.05982566642092311,8.169477107967195,2.0369331899139014,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05/w,Red Light On
8,9,Test,r50h05-gal4>uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,1.2438534117829578,6.576155891665405,7.465488759518007,1.4525574319395913,1.233736011059165,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05>Chr,Red Light On
9,10,Ctrl,w1118; uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.06340365344999771,6.093489962088879,10.38319928432931,0.0,0.03473355886990893,2021-11-12_16-18-50,2021-11-12_16-18-54,Chr/w,Red Light On
