,index,Genotype,Status,Light,Volume
0,0,Trhn/w,Ctrl,Green Light Off,245.27599999999998
1,8,Trhn/w,Ctrl,Green Light Off,186.536
2,9,ACR1/w,Ctrl,Green Light Off,140.862
3,10,Trhn/w,Ctrl,Green Light Off,134.792
4,11,Trhn/w,Ctrl,Green Light Off,65.596
5,12,ACR1/w,Ctrl,Green Light Off,191.496
6,13,Trhn/w,Ctrl,Green Light Off,301.119
7,14,ACR1/w,Ctrl,Green Light Off,354.295
8,15,Trhn/w,Ctrl,Green Light Off,172.588
9,27,ACR1/w,Ctrl,Green Light Off,277.238
10,37,ACR1/w,Ctrl,Green Light Off,407.63100000000003
11,39,ACR1/w,Ctrl,Green Light Off,162.97
12,40,ACR1/w,Ctrl,Green Light Off,0.0
13,41,Trhn/w,Ctrl,Green Light Off,0.0
14,42,Trhn/w,Ctrl,Green Light Off,153.422
15,43,Trhn/w,Ctrl,Green Light Off,273.7819999999999
16,44,ACR1/w,Ctrl,Green Light Off,166.373
17,45,ACR1/w,Ctrl,Green Light Off,182.489
18,46,Trhn/w,Ctrl,Green Light Off,30.512999999999998
19,47,ACR1/w,Ctrl,Green Light Off,201.506
20,48,Trhn/w,Ctrl,Green Light Off,240.121
21,49,ACR1/w,Ctrl,Green Light Off,177.777
22,50,ACR1/w,Ctrl,Green Light Off,117.396
23,51,Trhn/w,Ctrl,Green Light Off,138.137
24,52,Trhn/w,Ctrl,Green Light Off,167.47699999999998
25,53,ACR1/w,Ctrl,Green Light Off,106.867
26,54,Trhn/w,Ctrl,Green Light Off,190.718
27,55,Trhn/w,Ctrl,Green Light Off,83.0
28,56,ACR1/w,Ctrl,Green Light Off,16.279
29,57,Trhn/w,Ctrl,Green Light Off,109.13499999999999
30,58,ACR1/w,Ctrl,Green Light Off,93.86500000000001
31,59,ACR1/w,Ctrl,Green Light Off,541.453
32,1,Trhn>ACR1,Test,Green Light Off,297.622
33,2,Trhn>ACR1,Test,Green Light Off,104.733
34,3,Trhn>ACR1,Test,Green Light Off,239.313
35,4,Trhn>ACR1,Test,Green Light Off,128.20100000000002
36,5,Trhn>ACR1,Test,Green Light Off,216.42600000000002
37,6,Trhn>ACR1,Test,Green Light Off,129.133
38,7,Trhn>ACR1,Test,Green Light Off,251.671
39,16,Trhn>ACR1,Test,Green Light Off,104.892
40,17,Trhn>ACR1,Test,Green Light Off,180.891
41,18,Trhn>ACR1,Test,Green Light Off,285.536
42,19,Trhn>ACR1,Test,Green Light Off,220.34599999999998
43,20,Trhn>ACR1,Test,Green Light Off,214.60399999999998
44,21,Trhn>ACR1,Test,Green Light Off,156.076
45,22,Trhn>ACR1,Test,Green Light Off,76.015
46,23,Trhn>ACR1,Test,Green Light Off,110.535
47,24,Trhn>ACR1,Test,Green Light Off,343.01
48,25,Trhn>ACR1,Test,Green Light Off,135.992
49,26,Trhn>ACR1,Test,Green Light Off,114.598
50,28,Trhn>ACR1,Test,Green Light Off,383.423
51,29,Trhn>ACR1,Test,Green Light Off,79.011
52,30,Trhn>ACR1,Test,Green Light Off,284.39
53,31,Trhn>ACR1,Test,Green Light Off,270.929
54,32,Trhn>ACR1,Test,Green Light Off,158.01100000000002
55,33,Trhn>ACR1,Test,Green Light Off,169.4459999999999
56,34,Trhn>ACR1,Test,Green Light Off,265.76800000000003
57,35,Trhn>ACR1,Test,Green Light Off,97.303
58,36,Trhn>ACR1,Test,Green Light Off,124.352
59,38,Trhn>ACR1,Test,Green Light Off,170.877
60,60,ACR1/w,Ctrl,Green Light On,0.0
61,61,ACR1/w,Ctrl,Green Light On,0.0
62,63,Trhn/w,Ctrl,Green Light On,0.0
63,68,ACR1/w,Ctrl,Green Light On,0.0
