,index,Genotype,Status,Light,Volume
0,0,Trhn/w,Ctrl,Red Light Off,555.8199999999999
1,2,Trhn/w,Ctrl,Red Light Off,262.03
2,3,Chr/w,Ctrl,Red Light Off,184.928
3,4,Trhn/w,Ctrl,Red Light Off,314.452
4,5,Chr/w,Ctrl,Red Light Off,141.81099999999998
5,14,Trhn/w,Ctrl,Red Light Off,190.75300000000001
6,30,Chr/w,Ctrl,Red Light Off,220.199
7,32,Chr/w,Ctrl,Red Light Off,227.6139999999999
8,33,Trhn/w,Ctrl,Red Light Off,363.2269999999999
9,34,Chr/w,Ctrl,Red Light Off,188.054
10,35,Chr/w,Ctrl,Red Light Off,0.0
11,36,Trhn/w,Ctrl,Red Light Off,291.609
12,37,Trhn/w,Ctrl,Red Light Off,337.24399999999997
13,38,Trhn/w,Ctrl,Red Light Off,302.487
14,39,Trhn/w,Ctrl,Red Light Off,276.678
15,40,Chr/w,Ctrl,Red Light Off,131.88400000000001
16,41,Trhn/w,Ctrl,Red Light Off,243.7389999999999
17,42,Trhn/w,Ctrl,Red Light Off,264.459
18,43,Chr/w,Ctrl,Red Light Off,249.698
19,44,Trhn/w,Ctrl,Red Light Off,224.134
20,45,Chr/w,Ctrl,Red Light Off,251.672
21,46,Chr/w,Ctrl,Red Light Off,0.0
22,47,Chr/w,Ctrl,Red Light Off,0.0
23,48,Chr/w,Ctrl,Red Light Off,220.252
24,49,Trhn/w,Ctrl,Red Light Off,267.197
25,50,Trhn/w,Ctrl,Red Light Off,0.0
26,51,Chr/w,Ctrl,Red Light Off,146.396
27,52,Chr/w,Ctrl,Red Light Off,190.633
28,53,Chr/w,Ctrl,Red Light Off,224.03500000000003
29,54,Chr/w,Ctrl,Red Light Off,273.93
30,55,Trhn/w,Ctrl,Red Light Off,282.618
31,56,Chr/w,Ctrl,Red Light Off,197.9459999999999
32,57,Chr/w,Ctrl,Red Light Off,234.7
33,58,Chr/w,Ctrl,Red Light Off,142.549
34,59,Trhn/w,Ctrl,Red Light Off,384.7129999999999
35,1,Trhn>Chr,Test,Red Light Off,372.895
36,6,Trhn>Chr,Test,Red Light Off,433.47200000000004
37,7,Trhn>Chr,Test,Red Light Off,0.0
38,8,Trhn>Chr,Test,Red Light Off,0.0
39,9,Trhn>Chr,Test,Red Light Off,0.0
40,10,Trhn>Chr,Test,Red Light Off,311.061
41,11,Trhn>Chr,Test,Red Light Off,1113.451
42,12,Trhn>Chr,Test,Red Light Off,350.423
43,13,Trhn>Chr,Test,Red Light Off,384.3399999999999
44,15,Trhn>Chr,Test,Red Light Off,299.905
45,16,Trhn>Chr,Test,Red Light Off,474.615
46,17,Trhn>Chr,Test,Red Light Off,317.576
47,18,Trhn>Chr,Test,Red Light Off,271.11600000000004
48,19,Trhn>Chr,Test,Red Light Off,298.177
49,20,Trhn>Chr,Test,Red Light Off,410.387
50,21,Trhn>Chr,Test,Red Light Off,0.0
51,22,Trhn>Chr,Test,Red Light Off,338.91900000000004
52,23,Trhn>Chr,Test,Red Light Off,199.3539999999999
53,24,Trhn>Chr,Test,Red Light Off,95.9329999999999
54,25,Trhn>Chr,Test,Red Light Off,292.57
55,26,Trhn>Chr,Test,Red Light Off,513.398
56,27,Trhn>Chr,Test,Red Light Off,85.556
57,28,Trhn>Chr,Test,Red Light Off,289.974
58,29,Trhn>Chr,Test,Red Light Off,199.216
59,31,Trhn>Chr,Test,Red Light Off,349.462
60,67,Trhn/w,Ctrl,Red Light On,109.683
61,68,Trhn/w,Ctrl,Red Light On,264.642
62,69,Chr/w,Ctrl,Red Light On,229.17499999999998
63,70,Chr/w,Ctrl,Red Light On,68.867
64,71,Chr/w,Ctrl,Red Light On,1331.5330000000001
65,72,Chr/w,Ctrl,Red Light On,223.54
66,73,Trhn/w,Ctrl,Red Light On,184.636
67,74,Trhn/w,Ctrl,Red Light On,2118.781
68,75,Chr/w,Ctrl,Red Light On,6.997
69,76,Chr/w,Ctrl,Red Light On,3.316
70,77,Trhn/w,Ctrl,Red Light On,297.272
71,78,Trhn/w,Ctrl,Red Light On,157.202
72,79,Trhn/w,Ctrl,Red Light On,717.136
73,80,Chr/w,Ctrl,Red Light On,0.0
74,81,Chr/w,Ctrl,Red Light On,0.0
75,82,Chr/w,Ctrl,Red Light On,195.17499999999998
76,83,Chr/w,Ctrl,Red Light On,0.0
77,89,Chr/w,Ctrl,Red Light On,10.231
78,60,Trhn>Chr,Test,Red Light On,8.112
79,61,Trhn>Chr,Test,Red Light On,7.3340000000000005
80,62,Trhn>Chr,Test,Red Light On,7.569
81,63,Trhn>Chr,Test,Red Light On,49.325
82,64,Trhn>Chr,Test,Red Light On,0.0
83,65,Trhn>Chr,Test,Red Light On,0.0
84,66,Trhn>Chr,Test,Red Light On,0.0
85,84,Trhn>Chr,Test,Red Light On,0.0
86,85,Trhn>Chr,Test,Red Light On,0.0
87,86,Trhn>Chr,Test,Red Light On,0.0
88,87,Trhn>Chr,Test,Red Light On,26.639
89,88,Trhn>Chr,Test,Red Light On,0.0
