,index,Genotype,Status,Light,Volume
0,0,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,240.053
1,9,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,239.165
2,10,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,363.29
3,11,Trhn-G; R50H05-L/w,Ctrl,RLTG,94.14299999999989
4,12,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,245.111
5,14,Trhn-G; R50H05-L/w,Ctrl,RLTG,181.893
6,15,Trhn-G; R50H05-L/w,Ctrl,RLTG,167.502
7,16,Trhn-G; R50H05-L/w,Ctrl,RLTG,144.906
8,17,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,416.093
9,18,Trhn-G; R50H05-L/w,Ctrl,RLTG,216.577
10,19,Trhn-G; R50H05-L/w,Ctrl,RLTG,132.509
11,20,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,9.267
12,21,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
13,22,Trhn-G; R50H05-L/w,Ctrl,RLTG,154.048
14,23,Trhn-G; R50H05-L/w,Ctrl,RLTG,235.087
15,24,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,437.34299999999996
16,25,Trhn-G; R50H05-L/w,Ctrl,RLTG,237.277
17,26,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,388.846
18,27,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,298.911
19,28,Trhn-G; R50H05-L/w,Ctrl,RLTG,360.559
20,58,Trhn-G; R50H05-L/w,Ctrl,RLTG,185.189
21,59,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,517.443
22,60,Trhn-G; R50H05-L/w,Ctrl,RLTG,41.156
23,61,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
24,62,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
25,63,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
26,64,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
27,65,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
28,66,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
29,67,Trhn-G; R50H05-L/w,Ctrl,RLTG,193.2249999999999
30,68,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,447.573
31,69,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,327.096
32,70,Trhn-G; R50H05-L/w,Ctrl,RLTG,263.925
33,71,Trhn-G; R50H05-L/w,Ctrl,RLTG,155.414
34,72,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,60.321
35,73,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
36,74,Trhn-G; R50H05-L/w,Ctrl,RLTG,245.04899999999998
37,75,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,203.52200000000002
38,76,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
39,77,Trhn-G; R50H05-L/w,Ctrl,RLTG,242.71400000000003
40,78,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
41,79,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
42,80,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
43,81,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
44,82,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
45,83,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
46,84,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
47,85,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
48,86,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
49,87,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,164.148
50,88,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
51,89,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
52,90,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
53,91,Trhn-G; R50H05-L/w,Ctrl,RLTG,115.353
54,92,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,173.107
55,93,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,465.43600000000004
56,94,Trhn-G; R50H05-L/w,Ctrl,RLTG,213.3189999999999
57,95,Trhn-G; R50H05-L/w,Ctrl,RLTG,194.691
58,96,Trhn-G; R50H05-L/w,Ctrl,RLTG,237.322
59,97,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,179.469
60,98,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,358.71599999999995
61,99,Trhn-G; R50H05-L/w,Ctrl,RLTG,125.64500000000001
62,100,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,287.373
63,101,Trhn-G; R50H05-L/w,Ctrl,RLTG,88.08399999999999
64,102,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,253.712
65,103,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,213.536
66,104,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,285.618
67,105,Trhn-G; R50H05-L/w,Ctrl,RLTG,242.3509999999999
68,106,Trhn-G; R50H05-L/w,Ctrl,RLTG,261.923
69,107,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
70,108,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
71,109,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
72,110,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
73,111,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
74,112,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
75,113,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
76,114,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
77,115,LexAOp-Gal80; UAS-Chr/w,Ctrl,RLTG,0.0
78,116,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
79,117,Trhn-G; R50H05-L/w,Ctrl,RLTG,0.0
80,1,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
81,2,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,247.28
82,3,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
83,4,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,295.559
84,5,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
85,6,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
86,7,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
87,8,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,2.078
88,13,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
89,29,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,2.5469999999999997
90,30,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
91,31,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
92,32,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
93,33,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
94,34,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,4.768
95,35,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
96,36,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,46.25
97,37,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,54.934
98,38,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
99,39,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
100,40,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
101,41,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,2.969
102,42,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
103,43,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
104,44,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,111.36399999999989
105,45,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
106,46,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
107,47,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
108,48,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,105.761
109,49,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
110,50,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
111,51,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,2.9659999999999997
112,52,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
113,53,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
114,54,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
115,55,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,28.131
116,56,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,25.979
117,57,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,0.0
118,118,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,4.401000000000001
119,119,Trhn-G>Chr/R50H050-L>G80,Test,RLTG,20.145
