,index,Genotype,Status,Light,Meal Size
0,13,SXVNC1/w,Ctrl,Green Light Off,5.8615769230769
1,14,ACR1/w,Ctrl,Green Light Off,6.2975
2,16,ACR1/w,Ctrl,Green Light Off,5.4865268817204
3,17,SXVNC1/w,Ctrl,Green Light Off,13.8354285714285
4,18,ACR1/w,Ctrl,Green Light Off,2.1359999999999997
5,19,SXVNC1/w,Ctrl,Green Light Off,14.951
6,20,SXVNC1/w,Ctrl,Green Light Off,14.129600000000002
7,21,SXVNC1/w,Ctrl,Green Light Off,54.1212
8,22,SXVNC1/w,Ctrl,Green Light Off,12.1714285714285
9,23,ACR1/w,Ctrl,Green Light Off,4.97525
10,24,ACR1/w,Ctrl,Green Light Off,13.1229
11,25,SXVNC1/w,Ctrl,Green Light Off,32.486799999999896
12,26,ACR1/w,Ctrl,Green Light Off,9.9693684210526
13,27,SXVNC1/w,Ctrl,Green Light Off,19.78575
14,28,ACR1/w,Ctrl,Green Light Off,3.3204778761061
15,29,SXVNC1/w,Ctrl,Green Light Off,12.1875
16,0,SXVNC1>ACR1,Test,Green Light Off,0.0
17,1,SXVNC1>ACR1,Test,Green Light Off,0.0
18,2,SXVNC1>ACR1,Test,Green Light Off,0.0
19,3,SXVNC1>ACR1,Test,Green Light Off,0.0
20,4,SXVNC1>ACR1,Test,Green Light Off,0.0
21,5,SXVNC1>ACR1,Test,Green Light Off,0.0
22,6,SXVNC1>ACR1,Test,Green Light Off,0.0
23,7,SXVNC1>ACR1,Test,Green Light Off,0.0
24,8,SXVNC1>ACR1,Test,Green Light Off,0.0
25,9,SXVNC1>ACR1,Test,Green Light Off,0.0
26,10,SXVNC1>ACR1,Test,Green Light Off,48.6809999999999
27,11,SXVNC1>ACR1,Test,Green Light Off,0.0
28,12,SXVNC1>ACR1,Test,Green Light Off,0.0
29,15,SXVNC1>ACR1,Test,Green Light Off,0.0
30,53,SXVNC1/w,Ctrl,Green Light On,12.119533333333301
31,55,ACR1/w,Ctrl,Green Light On,5.2345
32,56,ACR1/w,Ctrl,Green Light On,5.2312272727272
33,57,ACR1/w,Ctrl,Green Light On,5.87475
34,58,SXVNC1/w,Ctrl,Green Light On,15.0865555555555
35,59,SXVNC1/w,Ctrl,Green Light On,13.8004705882352
36,60,ACR1/w,Ctrl,Green Light On,0.0
37,61,SXVNC1/w,Ctrl,Green Light On,30.058909090909
38,62,SXVNC1/w,Ctrl,Green Light On,4.3600384615384
39,63,ACR1/w,Ctrl,Green Light On,0.0
40,64,ACR1/w,Ctrl,Green Light On,0.0
41,65,ACR1/w,Ctrl,Green Light On,0.0
42,66,SXVNC1/w,Ctrl,Green Light On,0.0
43,67,SXVNC1/w,Ctrl,Green Light On,0.0
44,68,ACR1/w,Ctrl,Green Light On,60.259
45,69,SXVNC1/w,Ctrl,Green Light On,0.0
46,70,ACR1/w,Ctrl,Green Light On,5.7838529411763995
47,71,ACR1/w,Ctrl,Green Light On,8.504181818181799
48,72,SXVNC1/w,Ctrl,Green Light On,21.3824
49,75,ACR1/w,Ctrl,Green Light On,8.4442916666666
50,76,SXVNC1/w,Ctrl,Green Light On,45.14
51,77,SXVNC1/w,Ctrl,Green Light On,11.6645
52,79,SXVNC1/w,Ctrl,Green Light On,27.8189999999999
53,80,SXVNC1/w,Ctrl,Green Light On,5.6219285714285
54,81,SXVNC1/w,Ctrl,Green Light On,6.164499999999999
55,82,ACR1/w,Ctrl,Green Light On,5.861425531914801
56,83,ACR1/w,Ctrl,Green Light On,3.28075
57,84,SXVNC1/w,Ctrl,Green Light On,13.0905
58,85,ACR1/w,Ctrl,Green Light On,4.0794117647058
59,86,SXVNC1/w,Ctrl,Green Light On,14.9686875
60,87,SXVNC1/w,Ctrl,Green Light On,4.2150869565217
61,89,SXVNC1/w,Ctrl,Green Light On,11.180809523809499
62,30,SXVNC1>ACR1,Test,Green Light On,0.0
63,31,SXVNC1>ACR1,Test,Green Light On,0.0
64,32,SXVNC1>ACR1,Test,Green Light On,0.0
65,33,SXVNC1>ACR1,Test,Green Light On,0.0
66,34,SXVNC1>ACR1,Test,Green Light On,9.5851999999999
67,35,SXVNC1>ACR1,Test,Green Light On,0.0
68,36,SXVNC1>ACR1,Test,Green Light On,3.8900930232557998
69,37,SXVNC1>ACR1,Test,Green Light On,0.0
70,38,SXVNC1>ACR1,Test,Green Light On,0.0
71,39,SXVNC1>ACR1,Test,Green Light On,0.0
72,40,SXVNC1>ACR1,Test,Green Light On,0.0
73,41,SXVNC1>ACR1,Test,Green Light On,0.0
74,42,SXVNC1>ACR1,Test,Green Light On,0.0
75,43,SXVNC1>ACR1,Test,Green Light On,0.0
76,44,SXVNC1>ACR1,Test,Green Light On,0.0
77,45,SXVNC1>ACR1,Test,Green Light On,0.0
78,46,SXVNC1>ACR1,Test,Green Light On,0.0
79,47,SXVNC1>ACR1,Test,Green Light On,0.0
80,48,SXVNC1>ACR1,Test,Green Light On,0.0
81,49,SXVNC1>ACR1,Test,Green Light On,0.0
82,50,SXVNC1>ACR1,Test,Green Light On,0.0
83,51,SXVNC1>ACR1,Test,Green Light On,0.0
84,52,SXVNC1>ACR1,Test,Green Light On,0.0
85,54,SXVNC1>ACR1,Test,Green Light On,0.0
86,73,SXVNC1>ACR1,Test,Green Light On,0.0
87,74,SXVNC1>ACR1,Test,Green Light On,0.0
88,78,SXVNC1>ACR1,Test,Green Light On,0.0
89,88,SXVNC1>ACR1,Test,Green Light On,0.0
