,index,Genotype,Status,Light,Speed
0,5,SXVNC2/w,Ctrl,Green Light Off,0.2839420616296693
1,6,SXVNC2/w,Ctrl,Green Light Off,0.1539044147278807
2,8,ACR1/w,Ctrl,Green Light Off,2.647894694547312
3,9,SXVNC2/w,Ctrl,Green Light Off,0.4358099678836283
4,10,ACR1/w,Ctrl,Green Light Off,1.2125584242695628
5,11,SXVNC2/w,Ctrl,Green Light Off,0.0712177057719432
6,12,SXVNC2/w,Ctrl,Green Light Off,0.1116328023004541
7,13,ACR1/w,Ctrl,Green Light Off,0.0900511680019114
8,14,ACR1/w,Ctrl,Green Light Off,0.1021144152021007
9,15,SXVNC2/w,Ctrl,Green Light Off,0.07407263193282
10,16,ACR1/w,Ctrl,Green Light Off,0.0838011596260848
11,17,SXVNC2/w,Ctrl,Green Light Off,0.0948845465086845
12,18,ACR1/w,Ctrl,Green Light Off,0.1376005503490478
13,19,SXVNC2/w,Ctrl,Green Light Off,0.0997842578422948
14,24,ACR1/w,Ctrl,Green Light Off,0.0852639277075399
15,29,ACR1/w,Ctrl,Green Light Off,0.145325782366131
16,0,SXVNC2>ACR1,Test,Green Light Off,0.1001256157554246
17,1,SXVNC2>ACR1,Test,Green Light Off,0.1043887800050646
18,2,SXVNC2>ACR1,Test,Green Light Off,0.1547153308668991
19,3,SXVNC2>ACR1,Test,Green Light Off,0.0892781827425876
20,4,SXVNC2>ACR1,Test,Green Light Off,0.1748509980777333
21,7,SXVNC2>ACR1,Test,Green Light Off,0.119936884431051
22,20,SXVNC2>ACR1,Test,Green Light Off,0.4547402840656401
23,21,SXVNC2>ACR1,Test,Green Light Off,0.1723864976541121
24,22,SXVNC2>ACR1,Test,Green Light Off,0.4060497887094577
25,23,SXVNC2>ACR1,Test,Green Light Off,0.0815862584952693
26,25,SXVNC2>ACR1,Test,Green Light Off,0.0784827451494726
27,26,SXVNC2>ACR1,Test,Green Light Off,0.0953651509741523
28,27,SXVNC2>ACR1,Test,Green Light Off,1.469041195912155
29,28,SXVNC2>ACR1,Test,Green Light Off,0.2093193623476556
30,38,ACR1/w,Ctrl,Green Light On,0.1076938293002897
31,40,SXVNC2/w,Ctrl,Green Light On,0.1190562664865929
32,41,SXVNC2/w,Ctrl,Green Light On,0.1008517677947254
33,42,SXVNC2/w,Ctrl,Green Light On,0.0964209085499726
34,43,SXVNC2/w,Ctrl,Green Light On,0.1247286381388539
35,44,ACR1/w,Ctrl,Green Light On,0.1271459372926207
36,45,SXVNC2/w,Ctrl,Green Light On,0.1926950924771397
37,46,ACR1/w,Ctrl,Green Light On,0.2555804201220916
38,47,ACR1/w,Ctrl,Green Light On,0.1087839041657748
39,49,SXVNC2/w,Ctrl,Green Light On,0.2633984970905022
40,50,ACR1/w,Ctrl,Green Light On,0.1004622213825293
41,51,SXVNC2/w,Ctrl,Green Light On,1.6886692640850614
42,52,SXVNC2/w,Ctrl,Green Light On,0.3311104382270414
43,53,ACR1/w,Ctrl,Green Light On,0.0955377135018845
44,58,ACR1/w,Ctrl,Green Light On,0.1225463613370167
45,59,ACR1/w,Ctrl,Green Light On,0.0932255052755291
46,30,SXVNC2>ACR1,Test,Green Light On,0.082108325442904
47,31,SXVNC2>ACR1,Test,Green Light On,0.1153830342065918
48,32,SXVNC2>ACR1,Test,Green Light On,0.1378170723053469
49,33,SXVNC2>ACR1,Test,Green Light On,1.3294364324882657
50,34,SXVNC2>ACR1,Test,Green Light On,0.0687096075837392
51,35,SXVNC2>ACR1,Test,Green Light On,0.1095493553924084
52,36,SXVNC2>ACR1,Test,Green Light On,0.1131777608754727
53,37,SXVNC2>ACR1,Test,Green Light On,0.0994632469247639
54,39,SXVNC2>ACR1,Test,Green Light On,0.0840636117192552
55,48,SXVNC2>ACR1,Test,Green Light On,0.0668850615074673
56,54,SXVNC2>ACR1,Test,Green Light On,0.0964308163419908
57,55,SXVNC2>ACR1,Test,Green Light On,0.0810873595707091
58,56,SXVNC2>ACR1,Test,Green Light On,0.1298997394992126
59,57,SXVNC2>ACR1,Test,Green Light On,0.092259298876313
