,index,Genotype,Status,Light,Meal Size
0,1,SXVNC2/w,Ctrl,Red Light Off,29.9859333333333
1,2,SXVNC2/w,Ctrl,Red Light Off,31.4647142857142
2,3,Chr/w,Ctrl,Red Light Off,14.6586315789473
3,4,SXVNC2/w,Ctrl,Red Light Off,80.4558
4,5,SXVNC2/w,Ctrl,Red Light Off,20.4928947368421
5,7,SXVNC2/w,Ctrl,Red Light Off,74.32039999999999
6,8,Chr/w,Ctrl,Red Light Off,14.859
7,9,SXVNC2/w,Ctrl,Red Light Off,25.7202105263157
8,10,Chr/w,Ctrl,Red Light Off,9.789193548387
9,11,Chr/w,Ctrl,Red Light Off,15.641214285714199
10,12,Chr/w,Ctrl,Red Light Off,6.1043866666666
11,13,Chr/w,Ctrl,Red Light Off,14.5416842105263
12,14,Chr/w,Ctrl,Red Light Off,8.9659333333333
13,21,SXVNC2/w,Ctrl,Red Light Off,17.9750909090909
14,23,SXVNC2/w,Ctrl,Red Light Off,12.7230714285714
15,34,Chr/w,Ctrl,Red Light Off,10.731238095238
16,44,Chr/w,Ctrl,Red Light Off,0.0
17,47,Chr/w,Ctrl,Red Light Off,11.9420909090909
18,53,Chr/w,Ctrl,Red Light Off,31.5623
19,54,SXVNC2/w,Ctrl,Red Light Off,57.0397142857142
20,55,Chr/w,Ctrl,Red Light Off,68.8372
21,56,Chr/w,Ctrl,Red Light Off,8.6124999999999
22,57,SXVNC2/w,Ctrl,Red Light Off,22.6385454545454
23,58,SXVNC2/w,Ctrl,Red Light Off,14.8657916666666
24,59,SXVNC2/w,Ctrl,Red Light Off,63.20199999999999
25,60,Chr/w,Ctrl,Red Light Off,21.345699999999997
26,61,SXVNC2/w,Ctrl,Red Light Off,54.735
27,62,SXVNC2/w,Ctrl,Red Light Off,38.8145714285714
28,63,Chr/w,Ctrl,Red Light Off,2.8489999999999998
29,65,SXVNC2/w,Ctrl,Red Light Off,44.3668333333333
30,66,Chr/w,Ctrl,Red Light Off,45.852
31,67,Chr/w,Ctrl,Red Light Off,7.3785789473684
32,68,SXVNC2/w,Ctrl,Red Light Off,240.797
33,70,SXVNC2/w,Ctrl,Red Light Off,29.0379166666666
34,73,SXVNC2/w,Ctrl,Red Light Off,69.46533333333329
35,75,Chr/w,Ctrl,Red Light Off,11.338315789473599
36,77,SXVNC2/w,Ctrl,Red Light Off,39.0053
37,79,SXVNC2/w,Ctrl,Red Light Off,39.4661111111111
38,80,SXVNC2/w,Ctrl,Red Light Off,47.5378888888888
39,81,Chr/w,Ctrl,Red Light Off,23.40575
40,82,Chr/w,Ctrl,Red Light Off,25.968352941176402
41,83,SXVNC2/w,Ctrl,Red Light Off,51.6581428571428
42,84,SXVNC2/w,Ctrl,Red Light Off,45.48525
43,85,Chr/w,Ctrl,Red Light Off,21.183
