,index,Genotype,Status,Light,Speed
0,1,SXVNC2/w,Ctrl,Red Light Off,0.3002493681026069
1,2,SXVNC2/w,Ctrl,Red Light Off,0.5859531616335159
2,3,Chr/w,Ctrl,Red Light Off,0.8997561119301368
3,4,SXVNC2/w,Ctrl,Red Light Off,0.2078470000018893
4,5,SXVNC2/w,Ctrl,Red Light Off,0.3619947648778539
5,7,SXVNC2/w,Ctrl,Red Light Off,0.2713592899562623
6,8,Chr/w,Ctrl,Red Light Off,0.6486429161042107
7,9,SXVNC2/w,Ctrl,Red Light Off,0.1366796626343106
8,10,Chr/w,Ctrl,Red Light Off,0.3119653156673553
9,11,Chr/w,Ctrl,Red Light Off,0.1903467254914707
10,12,Chr/w,Ctrl,Red Light Off,0.2595464462748758
11,13,Chr/w,Ctrl,Red Light Off,0.1003071953497087
12,14,Chr/w,Ctrl,Red Light Off,0.1793193983784119
13,21,SXVNC2/w,Ctrl,Red Light Off,0.1277077680978652
14,23,SXVNC2/w,Ctrl,Red Light Off,1.4160543462972128
15,34,Chr/w,Ctrl,Red Light Off,1.341610749762002
16,44,Chr/w,Ctrl,Red Light Off,0.0748922823269479
17,47,Chr/w,Ctrl,Red Light Off,1.0366953378806
18,53,Chr/w,Ctrl,Red Light Off,0.1817524317297077
19,54,SXVNC2/w,Ctrl,Red Light Off,0.1380638811312702
20,55,Chr/w,Ctrl,Red Light Off,0.1365453232939695
21,56,Chr/w,Ctrl,Red Light Off,0.1281469686202152
22,57,SXVNC2/w,Ctrl,Red Light Off,0.3868129278066702
23,58,SXVNC2/w,Ctrl,Red Light Off,0.0639064630831296
24,59,SXVNC2/w,Ctrl,Red Light Off,0.0843383895920269
25,60,Chr/w,Ctrl,Red Light Off,0.1468216791289659
26,61,SXVNC2/w,Ctrl,Red Light Off,0.10254986738934
27,62,SXVNC2/w,Ctrl,Red Light Off,0.1918483122236259
28,63,Chr/w,Ctrl,Red Light Off,0.3036742484977413
29,65,SXVNC2/w,Ctrl,Red Light Off,0.2148674821906785
30,66,Chr/w,Ctrl,Red Light Off,0.4138575673790752
31,67,Chr/w,Ctrl,Red Light Off,0.0625633374533187
32,68,SXVNC2/w,Ctrl,Red Light Off,0.0757065245081509
33,70,SXVNC2/w,Ctrl,Red Light Off,0.1323050741192045
34,73,SXVNC2/w,Ctrl,Red Light Off,0.1770730737163124
35,75,Chr/w,Ctrl,Red Light Off,0.5851864014222953
36,77,SXVNC2/w,Ctrl,Red Light Off,0.1216910233848334
37,79,SXVNC2/w,Ctrl,Red Light Off,0.1364296782816633
38,80,SXVNC2/w,Ctrl,Red Light Off,0.1158053360274517
39,81,Chr/w,Ctrl,Red Light Off,0.1327995502257024
40,82,Chr/w,Ctrl,Red Light Off,0.4253895654178635
41,83,SXVNC2/w,Ctrl,Red Light Off,0.1304361614047195
42,84,SXVNC2/w,Ctrl,Red Light Off,0.1876891196993293
43,85,Chr/w,Ctrl,Red Light Off,0.3732477396076449
44,86,SXVNC2/w,Ctrl,Red Light Off,0.527235418196274
45,87,Chr/w,Ctrl,Red Light Off,0.1463556627317173
46,88,Chr/w,Ctrl,Red Light Off,0.1433689587870233
47,89,Chr/w,Ctrl,Red Light Off,0.1132020998893773
48,0,SXVNC2>Chr,Test,Red Light Off,0.1769667654713821
49,6,SXVNC2>Chr,Test,Red Light Off,0.1398723545570884
50,15,SXVNC2>Chr,Test,Red Light Off,0.8985164388094194
51,16,SXVNC2>Chr,Test,Red Light Off,0.2829745778921099
52,17,SXVNC2>Chr,Test,Red Light Off,0.1712190748651232
53,18,SXVNC2>Chr,Test,Red Light Off,0.37647361521268
54,19,SXVNC2>Chr,Test,Red Light Off,1.2937634994141176
55,20,SXVNC2>Chr,Test,Red Light Off,1.3118959383119615
56,22,SXVNC2>Chr,Test,Red Light Off,0.1282331261320493
57,24,SXVNC2>Chr,Test,Red Light Off,0.1290336125162778
58,25,SXVNC2>Chr,Test,Red Light Off,0.6729754902770865
59,26,SXVNC2>Chr,Test,Red Light Off,0.5567855283306806
60,27,SXVNC2>Chr,Test,Red Light Off,0.1348905353964891
61,28,SXVNC2>Chr,Test,Red Light Off,0.5043735186241344
62,29,SXVNC2>Chr,Test,Red Light Off,0.1176133174243496
63,30,SXVNC2>Chr,Test,Red Light Off,0.9033755912194767
64,31,SXVNC2>Chr,Test,Red Light Off,0.1962838061135029
65,32,SXVNC2>Chr,Test,Red Light Off,0.3636709150353433
66,33,SXVNC2>Chr,Test,Red Light Off,0.1914571476874053
