,index,Genotype,Status,Light,Volume
0,1,SXVNC2/w,Ctrl,Red Light Off,449.789
1,2,SXVNC2/w,Ctrl,Red Light Off,440.50600000000003
2,3,Chr/w,Ctrl,Red Light Off,278.514
3,4,SXVNC2/w,Ctrl,Red Light Off,402.279
4,5,SXVNC2/w,Ctrl,Red Light Off,389.365
5,7,SXVNC2/w,Ctrl,Red Light Off,371.602
6,8,Chr/w,Ctrl,Red Light Off,297.18
7,9,SXVNC2/w,Ctrl,Red Light Off,488.684
8,10,Chr/w,Ctrl,Red Light Off,303.465
9,11,Chr/w,Ctrl,Red Light Off,218.977
10,12,Chr/w,Ctrl,Red Light Off,457.829
11,13,Chr/w,Ctrl,Red Light Off,276.292
12,14,Chr/w,Ctrl,Red Light Off,403.46700000000004
13,21,SXVNC2/w,Ctrl,Red Light Off,395.452
14,23,SXVNC2/w,Ctrl,Red Light Off,712.492
15,34,Chr/w,Ctrl,Red Light Off,225.356
16,44,Chr/w,Ctrl,Red Light Off,0.0
17,47,Chr/w,Ctrl,Red Light Off,394.089
18,53,Chr/w,Ctrl,Red Light Off,315.623
19,54,SXVNC2/w,Ctrl,Red Light Off,399.2779999999999
20,55,Chr/w,Ctrl,Red Light Off,344.186
21,56,Chr/w,Ctrl,Red Light Off,172.25
22,57,SXVNC2/w,Ctrl,Red Light Off,249.024
23,58,SXVNC2/w,Ctrl,Red Light Off,356.779
24,59,SXVNC2/w,Ctrl,Red Light Off,316.01
25,60,Chr/w,Ctrl,Red Light Off,213.457
26,61,SXVNC2/w,Ctrl,Red Light Off,328.40999999999997
27,62,SXVNC2/w,Ctrl,Red Light Off,271.702
28,63,Chr/w,Ctrl,Red Light Off,5.6979999999999995
29,65,SXVNC2/w,Ctrl,Red Light Off,266.201
30,66,Chr/w,Ctrl,Red Light Off,596.0759999999999
31,67,Chr/w,Ctrl,Red Light Off,140.1929999999999
32,68,SXVNC2/w,Ctrl,Red Light Off,240.797
33,70,SXVNC2/w,Ctrl,Red Light Off,348.45500000000004
34,73,SXVNC2/w,Ctrl,Red Light Off,416.792
35,75,Chr/w,Ctrl,Red Light Off,430.856
36,77,SXVNC2/w,Ctrl,Red Light Off,390.053
37,79,SXVNC2/w,Ctrl,Red Light Off,355.195
38,80,SXVNC2/w,Ctrl,Red Light Off,427.841
39,81,Chr/w,Ctrl,Red Light Off,374.492
40,82,Chr/w,Ctrl,Red Light Off,441.46200000000005
41,83,SXVNC2/w,Ctrl,Red Light Off,361.607
42,84,SXVNC2/w,Ctrl,Red Light Off,363.882
43,85,Chr/w,Ctrl,Red Light Off,444.84299999999996
44,86,SXVNC2/w,Ctrl,Red Light Off,472.74300000000005
45,87,Chr/w,Ctrl,Red Light Off,279.325
46,88,Chr/w,Ctrl,Red Light Off,348.236
47,89,Chr/w,Ctrl,Red Light Off,212.893
48,0,SXVNC2>Chr,Test,Red Light Off,313.80400000000003
49,6,SXVNC2>Chr,Test,Red Light Off,444.61400000000003
50,15,SXVNC2>Chr,Test,Red Light Off,308.986
51,16,SXVNC2>Chr,Test,Red Light Off,308.021
52,17,SXVNC2>Chr,Test,Red Light Off,648.197
53,18,SXVNC2>Chr,Test,Red Light Off,781.944
54,19,SXVNC2>Chr,Test,Red Light Off,409.192
55,20,SXVNC2>Chr,Test,Red Light Off,680.655
56,22,SXVNC2>Chr,Test,Red Light Off,255.38099999999991
57,24,SXVNC2>Chr,Test,Red Light Off,507.641
58,25,SXVNC2>Chr,Test,Red Light Off,735.3149999999999
59,26,SXVNC2>Chr,Test,Red Light Off,389.617
60,27,SXVNC2>Chr,Test,Red Light Off,420.579
61,28,SXVNC2>Chr,Test,Red Light Off,628.06
62,29,SXVNC2>Chr,Test,Red Light Off,282.49
63,30,SXVNC2>Chr,Test,Red Light Off,400.796
64,31,SXVNC2>Chr,Test,Red Light Off,229.39000000000001
65,32,SXVNC2>Chr,Test,Red Light Off,517.701
66,33,SXVNC2>Chr,Test,Red Light Off,493.84499999999997
67,35,SXVNC2>Chr,Test,Red Light Off,325.26499999999993
68,36,SXVNC2>Chr,Test,Red Light Off,379.258
69,37,SXVNC2>Chr,Test,Red Light Off,95.6279999999999
70,38,SXVNC2>Chr,Test,Red Light Off,287.9359999999999
71,39,SXVNC2>Chr,Test,Red Light Off,324.926
72,40,SXVNC2>Chr,Test,Red Light Off,315.052
73,41,SXVNC2>Chr,Test,Red Light Off,156.055
74,42,SXVNC2>Chr,Test,Red Light Off,274.0189999999999
75,43,SXVNC2>Chr,Test,Red Light Off,771.383
76,45,SXVNC2>Chr,Test,Red Light Off,138.607
77,46,SXVNC2>Chr,Test,Red Light Off,519.81
78,48,SXVNC2>Chr,Test,Red Light Off,473.7559999999999
79,49,SXVNC2>Chr,Test,Red Light Off,475.468
80,50,SXVNC2>Chr,Test,Red Light Off,209.951
81,51,SXVNC2>Chr,Test,Red Light Off,480.114
82,52,SXVNC2>Chr,Test,Red Light Off,375.5969999999999
83,64,SXVNC2>Chr,Test,Red Light Off,250.22100000000003
84,69,SXVNC2>Chr,Test,Red Light Off,382.1779999999999
85,71,SXVNC2>Chr,Test,Red Light Off,207.2179999999999
86,72,SXVNC2>Chr,Test,Red Light Off,300.69
87,74,SXVNC2>Chr,Test,Red Light Off,363.907
88,76,SXVNC2>Chr,Test,Red Light Off,270.407
89,78,SXVNC2>Chr,Test,Red Light Off,391.25
90,145,Chr/w,Ctrl,Red Light On,252.89499999999998
91,147,Chr/w,Ctrl,Red Light On,0.0
92,148,SXVNC2/w,Ctrl,Red Light On,0.0
93,149,Chr/w,Ctrl,Red Light On,278.169
94,150,Chr/w,Ctrl,Red Light On,0.0
95,151,Chr/w,Ctrl,Red Light On,0.0
96,152,SXVNC2/w,Ctrl,Red Light On,281.93800000000005
97,153,SXVNC2/w,Ctrl,Red Light On,375.758
98,154,SXVNC2/w,Ctrl,Red Light On,463.43
99,155,Chr/w,Ctrl,Red Light On,373.839
100,156,SXVNC2/w,Ctrl,Red Light On,324.66299999999995
101,157,Chr/w,Ctrl,Red Light On,323.481
102,158,SXVNC2/w,Ctrl,Red Light On,183.762
103,159,Chr/w,Ctrl,Red Light On,147.1569999999999
104,160,SXVNC2/w,Ctrl,Red Light On,255.151
105,161,SXVNC2/w,Ctrl,Red Light On,389.478
106,162,Chr/w,Ctrl,Red Light On,197.712
107,163,SXVNC2/w,Ctrl,Red Light On,238.3019999999999
108,164,Chr/w,Ctrl,Red Light On,126.48499999999999
109,165,SXVNC2/w,Ctrl,Red Light On,242.135
110,166,SXVNC2/w,Ctrl,Red Light On,0.0
111,167,Chr/w,Ctrl,Red Light On,0.0
112,168,SXVNC2/w,Ctrl,Red Light On,0.0
113,169,SXVNC2/w,Ctrl,Red Light On,0.0
114,170,SXVNC2/w,Ctrl,Red Light On,0.0
115,171,SXVNC2/w,Ctrl,Red Light On,295.71999999999997
116,172,Chr/w,Ctrl,Red Light On,470.764
117,173,Chr/w,Ctrl,Red Light On,350.41099999999994
118,174,SXVNC2/w,Ctrl,Red Light On,178.665
119,175,Chr/w,Ctrl,Red Light On,329.476
120,176,Chr/w,Ctrl,Red Light On,372.366
121,177,SXVNC2/w,Ctrl,Red Light On,253.17000000000002
122,178,Chr/w,Ctrl,Red Light On,368.656
123,179,Chr/w,Ctrl,Red Light On,331.489
124,180,Chr/w,Ctrl,Red Light On,0.0
125,181,Chr/w,Ctrl,Red Light On,0.0
126,182,Chr/w,Ctrl,Red Light On,0.0
127,183,SXVNC2/w,Ctrl,Red Light On,0.0
128,184,SXVNC2/w,Ctrl,Red Light On,0.0
129,185,Chr/w,Ctrl,Red Light On,0.0
130,186,Chr/w,Ctrl,Red Light On,0.0
131,187,Chr/w,Ctrl,Red Light On,0.0
132,188,SXVNC2/w,Ctrl,Red Light On,0.0
133,189,Chr/w,Ctrl,Red Light On,0.0
134,190,Chr/w,Ctrl,Red Light On,0.0
135,191,SXVNC2/w,Ctrl,Red Light On,352.97
136,192,SXVNC2/w,Ctrl,Red Light On,545.154
137,193,Chr/w,Ctrl,Red Light On,47.965
138,194,Chr/w,Ctrl,Red Light On,236.983
139,195,SXVNC2/w,Ctrl,Red Light On,311.125
140,196,SXVNC2/w,Ctrl,Red Light On,342.325
141,197,Chr/w,Ctrl,Red Light On,264.586
142,198,Chr/w,Ctrl,Red Light On,477.055
