,index,Genotype,Status,Light,Volume
0,0,ACR1/w,Ctrl,Green Light On,111.332
1,13,ACR1/w,Ctrl,Green Light On,110.535
2,28,SXVNC3/w,Ctrl,Green Light On,83.935
3,29,ACR1/w,Ctrl,Green Light On,0.0
4,30,SXVNC3/w,Ctrl,Green Light On,69.053
5,31,ACR1/w,Ctrl,Green Light On,48.157
6,32,ACR1/w,Ctrl,Green Light On,81.83699999999999
7,33,SXVNC3/w,Ctrl,Green Light On,173.7699999999999
8,34,ACR1/w,Ctrl,Green Light On,27.985
9,35,SXVNC3/w,Ctrl,Green Light On,158.449
10,36,SXVNC3/w,Ctrl,Green Light On,84.705
11,37,ACR1/w,Ctrl,Green Light On,2.027
12,38,SXVNC3/w,Ctrl,Green Light On,255.657
13,39,ACR1/w,Ctrl,Green Light On,0.0
14,40,ACR1/w,Ctrl,Green Light On,0.0
15,41,SXVNC3/w,Ctrl,Green Light On,0.0
16,42,ACR1/w,Ctrl,Green Light On,0.0
17,43,SXVNC3/w,Ctrl,Green Light On,0.0
18,44,ACR1/w,Ctrl,Green Light On,0.0
19,45,ACR1/w,Ctrl,Green Light On,0.0
20,46,SXVNC3/w,Ctrl,Green Light On,0.0
21,47,SXVNC3/w,Ctrl,Green Light On,0.0
22,48,ACR1/w,Ctrl,Green Light On,51.583999999999996
23,49,SXVNC3/w,Ctrl,Green Light On,119.10900000000001
24,50,SXVNC3/w,Ctrl,Green Light On,90.3569999999999
25,51,SXVNC3/w,Ctrl,Green Light On,323.654
26,52,ACR1/w,Ctrl,Green Light On,278.5479999999999
27,53,SXVNC3/w,Ctrl,Green Light On,227.364
28,54,ACR1/w,Ctrl,Green Light On,163.881
29,55,SXVNC3/w,Ctrl,Green Light On,117.962
30,56,SXVNC3/w,Ctrl,Green Light On,252.48900000000003
31,57,ACR1/w,Ctrl,Green Light On,60.306
32,1,SXVNC3>ACR1,Test,Green Light On,101.345
33,2,SXVNC3>ACR1,Test,Green Light On,121.57
34,3,SXVNC3>ACR1,Test,Green Light On,54.352
35,4,SXVNC3>ACR1,Test,Green Light On,0.0
36,5,SXVNC3>ACR1,Test,Green Light On,152.915
37,6,SXVNC3>ACR1,Test,Green Light On,0.0
38,7,SXVNC3>ACR1,Test,Green Light On,0.0
39,8,SXVNC3>ACR1,Test,Green Light On,2.219
40,9,SXVNC3>ACR1,Test,Green Light On,74.1
41,10,SXVNC3>ACR1,Test,Green Light On,25.389
42,11,SXVNC3>ACR1,Test,Green Light On,39.231
43,12,SXVNC3>ACR1,Test,Green Light On,0.0
44,14,SXVNC3>ACR1,Test,Green Light On,0.0
45,15,SXVNC3>ACR1,Test,Green Light On,0.0
46,16,SXVNC3>ACR1,Test,Green Light On,0.0
47,17,SXVNC3>ACR1,Test,Green Light On,0.0
48,18,SXVNC3>ACR1,Test,Green Light On,287.01300000000003
49,19,SXVNC3>ACR1,Test,Green Light On,38.856
50,20,SXVNC3>ACR1,Test,Green Light On,34.451
51,21,SXVNC3>ACR1,Test,Green Light On,132.244
52,22,SXVNC3>ACR1,Test,Green Light On,71.353
53,23,SXVNC3>ACR1,Test,Green Light On,584.9689999999999
54,24,SXVNC3>ACR1,Test,Green Light On,2.5669999999999997
55,25,SXVNC3>ACR1,Test,Green Light On,76.50800000000001
56,26,SXVNC3>ACR1,Test,Green Light On,40.743
57,27,SXVNC3>ACR1,Test,Green Light On,0.0
58,58,SXVNC3>ACR1,Test,Green Light On,0.0
59,59,SXVNC3>ACR1,Test,Green Light On,47.747
