,index,Genotype,Status,Light,Volume
0,0,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,30.4359999999999
1,6,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,80.062
2,7,Trhn-L; R50H05-G/w,Ctrl,TLRG,66.15899999999999
3,8,Trhn-L; R50H05-G/w,Ctrl,TLRG,70.7339999999999
4,10,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,16.136000000000003
5,11,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,175.945
6,12,Trhn-L; R50H05-G/w,Ctrl,TLRG,81.161
7,13,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,165.682
8,14,Trhn-L; R50H05-G/w,Ctrl,TLRG,32.582
9,15,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,59.896
10,16,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,103.556
11,17,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,26.368
12,18,Trhn-L; R50H05-G/w,Ctrl,TLRG,81.914
13,19,Trhn-L; R50H05-G/w,Ctrl,TLRG,206.904
14,42,Trhn-L; R50H05-G/w,Ctrl,TLRG,37.981
15,43,Trhn-L; R50H05-G/w,Ctrl,TLRG,7.32
16,44,Trhn-L; R50H05-G/w,Ctrl,TLRG,34.427
17,45,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,105.92
18,46,Trhn-L; R50H05-G/w,Ctrl,TLRG,0.0
19,47,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,0.0
20,48,Trhn-L; R50H05-G/w,Ctrl,TLRG,0.0
21,49,Trhn-L; R50H05-G/w,Ctrl,TLRG,22.174
22,50,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,126.89200000000001
23,51,Trhn-L; R50H05-G/w,Ctrl,TLRG,47.010999999999996
24,52,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,186.525
25,53,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,67.358
26,54,Trhn-L; R50H05-G/w,Ctrl,TLRG,18.974999999999998
27,55,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,112.954
28,56,Trhn-L; R50H05-G/w,Ctrl,TLRG,46.05
29,57,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,115.369
30,58,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,212.76999999999998
31,59,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,364.25600000000003
32,60,Trhn-L; R50H05-G/w,Ctrl,TLRG,62.808
33,61,Trhn-L; R50H05-G/w,Ctrl,TLRG,0.0
34,62,Trhn-L; R50H05-G/w,Ctrl,TLRG,114.119
35,63,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,210.503
36,64,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,16.3579999999999
37,65,Trhn-L; R50H05-G/w,Ctrl,TLRG,0.0
38,67,Trhn-L; R50H05-G/w,Ctrl,TLRG,0.0
39,68,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,0.0
40,69,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,95.641
41,70,LexAOp-Gal80; UAS-Chr/w,Ctrl,TLRG,65.524
42,71,Trhn-L; R50H05-G/w,Ctrl,TLRG,52.453
43,72,Trhn-L; R50H05-G/w,Ctrl,TLRG,48.5
