,index,Genotype,Status,Light,Volume
0,0,Trhn/w,Ctrl,Red Light Off,325.15
1,1,Brain-Chr/w,Ctrl,Red Light Off,0.0
2,6,Brain-Chr/w,Ctrl,Red Light Off,718.012
3,7,Trhn/w,Ctrl,Red Light Off,533.117
4,8,Brain-Chr/w,Ctrl,Red Light Off,1517.3410000000001
5,9,Brain-Chr/w,Ctrl,Red Light Off,519.61
6,10,Trhn/w,Ctrl,Red Light Off,464.782
7,11,Brain-Chr/w,Ctrl,Red Light Off,523.365
8,12,Trhn/w,Ctrl,Red Light Off,616.933
9,13,Brain-Chr/w,Ctrl,Red Light Off,368.527
10,14,Brain-Chr/w,Ctrl,Red Light Off,220.957
11,15,Trhn/w,Ctrl,Red Light Off,394.208
12,16,Brain-Chr/w,Ctrl,Red Light Off,410.082
13,17,Trhn/w,Ctrl,Red Light Off,30.779999999999998
14,18,Brain-Chr/w,Ctrl,Red Light Off,298.98
15,19,Trhn/w,Ctrl,Red Light Off,201.534
16,20,Trhn/w,Ctrl,Red Light Off,613.9369999999999
17,21,Trhn/w,Ctrl,Red Light Off,379.911
18,22,Brain-Chr/w,Ctrl,Red Light Off,503.708
19,23,Trhn/w,Ctrl,Red Light Off,463.341
20,24,Trhn/w,Ctrl,Red Light Off,553.644
21,25,Trhn/w,Ctrl,Red Light Off,447.3999999999999
22,26,Trhn/w,Ctrl,Red Light Off,341.339
23,27,Brain-Chr/w,Ctrl,Red Light Off,248.144
24,28,Brain-Chr/w,Ctrl,Red Light Off,321.504
25,29,Brain-Chr/w,Ctrl,Red Light Off,131.856
26,30,Trhn/w,Ctrl,Red Light Off,506.68800000000005
27,31,Brain-Chr/w,Ctrl,Red Light Off,53.148
28,32,Trhn/w,Ctrl,Red Light Off,443.123
29,33,Trhn/w,Ctrl,Red Light Off,546.193
30,34,Brain-Chr/w,Ctrl,Red Light Off,320.48199999999997
31,35,Trhn/w,Ctrl,Red Light Off,554.873
32,36,Trhn/w,Ctrl,Red Light Off,229.855
33,37,Brain-Chr/w,Ctrl,Red Light Off,250.69199999999992
34,39,Brain-Chr/w,Ctrl,Red Light Off,489.476
35,2,Trhn>Brain-Chr,Test,Red Light Off,272.928
36,3,Trhn>Brain-Chr,Test,Red Light Off,280.613
37,4,Trhn>Brain-Chr,Test,Red Light Off,545.8629999999999
38,5,Trhn>Brain-Chr,Test,Red Light Off,805.031
39,38,Trhn>Brain-Chr,Test,Red Light Off,324.387
40,40,Trhn>Brain-Chr,Test,Red Light Off,791.35
41,41,Trhn>Brain-Chr,Test,Red Light Off,169.681
42,42,Trhn>Brain-Chr,Test,Red Light Off,123.7989999999999
43,43,Trhn>Brain-Chr,Test,Red Light Off,249.49699999999999
44,44,Trhn>Brain-Chr,Test,Red Light Off,528.5450000000001
45,45,Trhn>Brain-Chr,Test,Red Light Off,45.812
