,index,Genotype,Status,Light,Meal Size
0,0,VNC-ACR1/w,Ctrl,Green Light Off,17.6908235294117
1,1,Trhn/w,Ctrl,Green Light Off,2.6645000000000003
2,2,VNC-ACR1/w,Ctrl,Green Light Off,2.454
3,3,VNC-ACR1/w,Ctrl,Green Light Off,3.8554545454545
4,4,Trhn/w,Ctrl,Green Light Off,12.51125
5,5,Trhn/w,Ctrl,Green Light Off,0.0
6,6,VNC-ACR1/w,Ctrl,Green Light Off,0.0
7,7,Trhn/w,Ctrl,Green Light Off,0.0
8,8,Trhn/w,Ctrl,Green Light Off,6.0348666666666
9,9,VNC-ACR1/w,Ctrl,Green Light Off,60.8657499999999
10,10,Trhn/w,Ctrl,Green Light Off,4.9783333333333
11,11,Trhn/w,Ctrl,Green Light Off,0.0
12,12,VNC-ACR1/w,Ctrl,Green Light Off,37.3053333333333
13,13,Trhn/w,Ctrl,Green Light Off,6.774199999999899
14,14,VNC-ACR1/w,Ctrl,Green Light Off,21.023320000000002
15,15,Trhn/w,Ctrl,Green Light Off,7.313875
16,16,VNC-ACR1/w,Ctrl,Green Light Off,15.3228181818181
17,17,VNC-ACR1/w,Ctrl,Green Light Off,14.273
18,18,Trhn/w,Ctrl,Green Light Off,4.803733333333301
19,19,VNC-ACR1/w,Ctrl,Green Light Off,5.671
20,20,Trhn/w,Ctrl,Green Light Off,5.4598787878787
21,21,VNC-ACR1/w,Ctrl,Green Light Off,18.975125
22,22,Trhn/w,Ctrl,Green Light Off,3.6946666666666
23,23,Trhn/w,Ctrl,Green Light Off,4.2483333333333
24,24,VNC-ACR1/w,Ctrl,Green Light Off,5.3226666666666
25,25,VNC-ACR1/w,Ctrl,Green Light Off,7.8132399999999
26,26,Trhn/w,Ctrl,Green Light Off,8.4338
27,27,VNC-ACR1/w,Ctrl,Green Light Off,59.35525
28,28,Trhn/w,Ctrl,Green Light Off,6.3890833333333
29,29,VNC-ACR1/w,Ctrl,Green Light Off,9.5535294117647
30,30,Trhn/w,Ctrl,Green Light Off,5.4019
31,31,Trhn/w,Ctrl,Green Light Off,10.5368048780487
32,32,VNC-ACR1/w,Ctrl,Green Light Off,13.1365999999999
33,33,VNC-ACR1/w,Ctrl,Green Light Off,19.590454545454502
34,34,VNC-ACR1/w,Ctrl,Green Light Off,5.1192368421052
35,35,Trhn/w,Ctrl,Green Light Off,5.7583333333333
36,36,Trhn/w,Ctrl,Green Light Off,0.0
37,37,Trhn/w,Ctrl,Green Light Off,0.0
38,38,Trhn/w,Ctrl,Green Light Off,8.386923076923
39,39,Trhn/w,Ctrl,Green Light Off,3.9318888888887997
40,40,VNC-ACR1/w,Ctrl,Green Light Off,136.303
41,41,Trhn/w,Ctrl,Green Light Off,4.752
42,42,Trhn/w,Ctrl,Green Light Off,0.0
43,43,Trhn/w,Ctrl,Green Light Off,4.2861666666666
44,44,Trhn/w,Ctrl,Green Light Off,0.0
45,45,Trhn/w,Ctrl,Green Light Off,0.0
46,46,VNC-ACR1/w,Ctrl,Green Light Off,0.0
47,47,Trhn/w,Ctrl,Green Light Off,0.0
48,48,Trhn/w,Ctrl,Green Light Off,33.286
49,49,VNC-ACR1/w,Ctrl,Green Light Off,0.0
50,50,Trhn/w,Ctrl,Green Light Off,5.9442857142857
51,51,Trhn>VNC-ACR1,Test,Green Light Off,3.5736470588235
52,52,Trhn>VNC-ACR1,Test,Green Light Off,8.2315483870967
53,53,Trhn>VNC-ACR1,Test,Green Light Off,7.0973333333333
54,54,Trhn>VNC-ACR1,Test,Green Light Off,3.2164999999999
55,55,Trhn>VNC-ACR1,Test,Green Light Off,4.2956470588235005
56,56,Trhn>VNC-ACR1,Test,Green Light Off,2.7736111111111
57,57,Trhn>VNC-ACR1,Test,Green Light Off,5.78315625
58,58,Trhn>VNC-ACR1,Test,Green Light Off,3.4428214285714
59,59,Trhn>VNC-ACR1,Test,Green Light Off,8.690294117647
60,60,Trhn>VNC-ACR1,Test,Green Light Off,9.957416666666601
61,61,Trhn>VNC-ACR1,Test,Green Light Off,2.8688461538461
62,62,Trhn>VNC-ACR1,Test,Green Light Off,4.6386875
63,63,Trhn>VNC-ACR1,Test,Green Light Off,4.641
64,64,Trhn>VNC-ACR1,Test,Green Light Off,6.18096875
65,65,Trhn>VNC-ACR1,Test,Green Light Off,8.6974
66,66,Trhn>VNC-ACR1,Test,Green Light Off,15.1230833333333
67,67,Trhn>VNC-ACR1,Test,Green Light Off,7.151487804878
68,68,Trhn>VNC-ACR1,Test,Green Light Off,0.0
69,69,Trhn>VNC-ACR1,Test,Green Light Off,0.0
70,70,Trhn>VNC-ACR1,Test,Green Light Off,0.0
71,71,Trhn>VNC-ACR1,Test,Green Light Off,0.0
72,72,Trhn>VNC-ACR1,Test,Green Light Off,15.3431538461538
73,73,Trhn>VNC-ACR1,Test,Green Light Off,0.0
74,74,Trhn>VNC-ACR1,Test,Green Light Off,0.0
75,75,Trhn>VNC-ACR1,Test,Green Light Off,0.0
76,76,Trhn>VNC-ACR1,Test,Green Light Off,0.0
77,77,Trhn>VNC-ACR1,Test,Green Light Off,0.0
78,78,Trhn>VNC-ACR1,Test,Green Light Off,0.0
79,79,Trhn>VNC-ACR1,Test,Green Light Off,6.5564666666666
80,80,Trhn>VNC-ACR1,Test,Green Light Off,9.5146153846153
81,81,Trhn>VNC-ACR1,Test,Green Light Off,5.5709491525423
82,82,Trhn>VNC-ACR1,Test,Green Light Off,25.628
83,83,Trhn>VNC-ACR1,Test,Green Light Off,11.0967619047619
84,84,Trhn>VNC-ACR1,Test,Green Light Off,10.258794117647
85,85,Trhn>VNC-ACR1,Test,Green Light Off,4.1567924528301
86,86,Trhn>VNC-ACR1,Test,Green Light Off,8.819888888888801
87,87,Trhn>VNC-ACR1,Test,Green Light Off,5.04615
88,88,Trhn>VNC-ACR1,Test,Green Light Off,0.0
89,89,VNC-ACR1/w,Ctrl,Green Light On,2.3032
90,90,Trhn/w,Ctrl,Green Light On,4.2219285714285
91,91,VNC-ACR1/w,Ctrl,Green Light On,2.0460000000000003
92,92,VNC-ACR1/w,Ctrl,Green Light On,12.053233333333301
93,93,Trhn/w,Ctrl,Green Light On,14.10075
94,94,Trhn/w,Ctrl,Green Light On,3.7190000000000003
95,95,Trhn/w,Ctrl,Green Light On,4.1296274509803
96,96,Trhn/w,Ctrl,Green Light On,3.8184666666666
97,97,VNC-ACR1/w,Ctrl,Green Light On,10.8775
98,98,Trhn/w,Ctrl,Green Light On,16.831333333333298
99,99,VNC-ACR1/w,Ctrl,Green Light On,11.9307
100,100,VNC-ACR1/w,Ctrl,Green Light On,0.0
101,101,VNC-ACR1/w,Ctrl,Green Light On,0.0
102,102,VNC-ACR1/w,Ctrl,Green Light On,0.0
103,103,Trhn/w,Ctrl,Green Light On,0.0
104,104,VNC-ACR1/w,Ctrl,Green Light On,0.0
105,105,Trhn/w,Ctrl,Green Light On,0.0
106,106,Trhn/w,Ctrl,Green Light On,0.0
107,107,VNC-ACR1/w,Ctrl,Green Light On,0.0
108,108,Trhn/w,Ctrl,Green Light On,0.0
109,109,VNC-ACR1/w,Ctrl,Green Light On,0.0
110,110,VNC-ACR1/w,Ctrl,Green Light On,0.0
111,111,VNC-ACR1/w,Ctrl,Green Light On,0.0
112,112,Trhn/w,Ctrl,Green Light On,0.0
