,index,Genotype,Status,Light,Speed
0,0,VNC-ACR1/w,Ctrl,Green Light Off,3.0755166861472474
1,1,Trhn/w,Ctrl,Green Light Off,0.1115904750581179
2,2,VNC-ACR1/w,Ctrl,Green Light Off,0.0851964788183324
3,3,VNC-ACR1/w,Ctrl,Green Light Off,0.6417328234882609
4,4,Trhn/w,Ctrl,Green Light Off,0.3532200941494296
5,5,Trhn/w,Ctrl,Green Light Off,0.1203454947466432
6,6,VNC-ACR1/w,Ctrl,Green Light Off,0.0854450338120688
7,7,Trhn/w,Ctrl,Green Light Off,0.204896766644843
8,8,Trhn/w,Ctrl,Green Light Off,4.303533498240349
9,9,VNC-ACR1/w,Ctrl,Green Light Off,1.2444410686458474
10,10,Trhn/w,Ctrl,Green Light Off,2.4026098055194134
11,11,Trhn/w,Ctrl,Green Light Off,0.0939902765389394
12,12,VNC-ACR1/w,Ctrl,Green Light Off,1.2380257093398137
13,13,Trhn/w,Ctrl,Green Light Off,0.4476783028183964
14,14,VNC-ACR1/w,Ctrl,Green Light Off,0.6738941269764149
15,15,Trhn/w,Ctrl,Green Light Off,2.1488009602210827
16,16,VNC-ACR1/w,Ctrl,Green Light Off,0.489295860705539
17,17,VNC-ACR1/w,Ctrl,Green Light Off,0.4026702689718469
18,18,Trhn/w,Ctrl,Green Light Off,1.2216503990937193
19,19,VNC-ACR1/w,Ctrl,Green Light Off,1.6560404045102295
20,20,Trhn/w,Ctrl,Green Light Off,2.375540702786196
21,21,VNC-ACR1/w,Ctrl,Green Light Off,1.4805652624333752
22,22,Trhn/w,Ctrl,Green Light Off,0.8295637573992737
23,23,Trhn/w,Ctrl,Green Light Off,0.1523686371961906
24,24,VNC-ACR1/w,Ctrl,Green Light Off,1.5002805453106094
25,25,VNC-ACR1/w,Ctrl,Green Light Off,1.4114517818311747
26,26,Trhn/w,Ctrl,Green Light Off,0.6248705170020941
27,27,VNC-ACR1/w,Ctrl,Green Light Off,0.5711384322260975
28,28,Trhn/w,Ctrl,Green Light Off,0.6933335633284723
29,29,VNC-ACR1/w,Ctrl,Green Light Off,0.7362214837322121
30,30,Trhn/w,Ctrl,Green Light Off,1.8764388601229829
31,31,Trhn/w,Ctrl,Green Light Off,1.8577530118976733
32,32,VNC-ACR1/w,Ctrl,Green Light Off,1.334608899605233
33,33,VNC-ACR1/w,Ctrl,Green Light Off,1.3385153500599982
34,34,VNC-ACR1/w,Ctrl,Green Light Off,0.9256501550460896
35,35,Trhn/w,Ctrl,Green Light Off,0.1682631280520336
