,index,Genotype,Status,Light,Volume
0,0,VNC-ACR1/w,Ctrl,Green Light Off,902.2320000000001
1,1,Trhn/w,Ctrl,Green Light Off,5.329000000000001
2,2,VNC-ACR1/w,Ctrl,Green Light Off,29.447999999999997
3,3,VNC-ACR1/w,Ctrl,Green Light Off,42.4099999999999
4,4,Trhn/w,Ctrl,Green Light Off,50.045
5,5,Trhn/w,Ctrl,Green Light Off,0.0
6,6,VNC-ACR1/w,Ctrl,Green Light Off,0.0
7,7,Trhn/w,Ctrl,Green Light Off,0.0
8,8,Trhn/w,Ctrl,Green Light Off,181.04600000000002
9,9,VNC-ACR1/w,Ctrl,Green Light Off,486.92599999999993
10,10,Trhn/w,Ctrl,Green Light Off,119.48
11,11,Trhn/w,Ctrl,Green Light Off,0.0
12,12,VNC-ACR1/w,Ctrl,Green Light Off,559.5799999999999
13,13,Trhn/w,Ctrl,Green Light Off,67.74199999999999
14,14,VNC-ACR1/w,Ctrl,Green Light Off,525.583
15,15,Trhn/w,Ctrl,Green Light Off,175.533
16,16,VNC-ACR1/w,Ctrl,Green Light Off,168.55100000000002
17,17,VNC-ACR1/w,Ctrl,Green Light Off,99.911
18,18,Trhn/w,Ctrl,Green Light Off,72.056
19,19,VNC-ACR1/w,Ctrl,Green Light Off,56.7099999999999
20,20,Trhn/w,Ctrl,Green Light Off,180.17600000000002
21,21,VNC-ACR1/w,Ctrl,Green Light Off,151.801
22,22,Trhn/w,Ctrl,Green Light Off,33.251999999999995
23,23,Trhn/w,Ctrl,Green Light Off,38.235
24,24,VNC-ACR1/w,Ctrl,Green Light Off,159.67999999999998
25,25,VNC-ACR1/w,Ctrl,Green Light Off,585.9929999999999
26,26,Trhn/w,Ctrl,Green Light Off,42.169
27,27,VNC-ACR1/w,Ctrl,Green Light Off,237.421
28,28,Trhn/w,Ctrl,Green Light Off,76.669
29,29,VNC-ACR1/w,Ctrl,Green Light Off,162.41
30,30,Trhn/w,Ctrl,Green Light Off,162.05700000000002
31,31,Trhn/w,Ctrl,Green Light Off,432.00899999999996
32,32,VNC-ACR1/w,Ctrl,Green Light Off,131.3659999999999
33,33,VNC-ACR1/w,Ctrl,Green Light Off,215.495
34,34,VNC-ACR1/w,Ctrl,Green Light Off,194.531
35,35,Trhn/w,Ctrl,Green Light Off,17.275
36,36,Trhn/w,Ctrl,Green Light Off,0.0
37,37,Trhn/w,Ctrl,Green Light Off,0.0
38,38,Trhn/w,Ctrl,Green Light Off,218.06
39,39,Trhn/w,Ctrl,Green Light Off,35.387
40,40,VNC-ACR1/w,Ctrl,Green Light Off,136.303
41,41,Trhn/w,Ctrl,Green Light Off,90.288
42,42,Trhn/w,Ctrl,Green Light Off,0.0
43,43,Trhn/w,Ctrl,Green Light Off,128.585
44,44,Trhn/w,Ctrl,Green Light Off,0.0
45,45,Trhn/w,Ctrl,Green Light Off,0.0
46,46,VNC-ACR1/w,Ctrl,Green Light Off,0.0
47,47,Trhn/w,Ctrl,Green Light Off,0.0
48,48,Trhn/w,Ctrl,Green Light Off,66.572
49,49,VNC-ACR1/w,Ctrl,Green Light Off,0.0
50,50,Trhn/w,Ctrl,Green Light Off,41.6099999999999
51,51,Trhn>VNC-ACR1,Test,Green Light Off,60.752
52,52,Trhn>VNC-ACR1,Test,Green Light Off,255.17800000000003
53,53,Trhn>VNC-ACR1,Test,Green Light Off,106.46
54,54,Trhn>VNC-ACR1,Test,Green Light Off,6.4329999999998995
55,55,Trhn>VNC-ACR1,Test,Green Light Off,146.052
56,56,Trhn>VNC-ACR1,Test,Green Light Off,49.925
57,57,Trhn>VNC-ACR1,Test,Green Light Off,185.061
58,58,Trhn>VNC-ACR1,Test,Green Light Off,96.399
59,59,Trhn>VNC-ACR1,Test,Green Light Off,147.735
60,60,Trhn>VNC-ACR1,Test,Green Light Off,716.934
61,61,Trhn>VNC-ACR1,Test,Green Light Off,111.885
62,62,Trhn>VNC-ACR1,Test,Green Light Off,74.219
63,63,Trhn>VNC-ACR1,Test,Green Light Off,143.871
64,64,Trhn>VNC-ACR1,Test,Green Light Off,197.791
65,65,Trhn>VNC-ACR1,Test,Green Light Off,130.46099999999998
66,66,Trhn>VNC-ACR1,Test,Green Light Off,181.477
67,67,Trhn>VNC-ACR1,Test,Green Light Off,586.422
68,68,Trhn>VNC-ACR1,Test,Green Light Off,0.0
69,69,Trhn>VNC-ACR1,Test,Green Light Off,0.0
70,70,Trhn>VNC-ACR1,Test,Green Light Off,0.0
71,71,Trhn>VNC-ACR1,Test,Green Light Off,0.0
72,72,Trhn>VNC-ACR1,Test,Green Light Off,199.461
73,73,Trhn>VNC-ACR1,Test,Green Light Off,0.0
74,74,Trhn>VNC-ACR1,Test,Green Light Off,0.0
75,75,Trhn>VNC-ACR1,Test,Green Light Off,0.0
76,76,Trhn>VNC-ACR1,Test,Green Light Off,0.0
77,77,Trhn>VNC-ACR1,Test,Green Light Off,0.0
78,78,Trhn>VNC-ACR1,Test,Green Light Off,0.0
79,79,Trhn>VNC-ACR1,Test,Green Light Off,98.34700000000001
80,80,Trhn>VNC-ACR1,Test,Green Light Off,123.69
81,81,Trhn>VNC-ACR1,Test,Green Light Off,328.686
82,82,Trhn>VNC-ACR1,Test,Green Light Off,358.792
83,83,Trhn>VNC-ACR1,Test,Green Light Off,466.06399999999996
84,84,Trhn>VNC-ACR1,Test,Green Light Off,348.79900000000004
85,85,Trhn>VNC-ACR1,Test,Green Light Off,220.31
86,86,Trhn>VNC-ACR1,Test,Green Light Off,158.758
87,87,Trhn>VNC-ACR1,Test,Green Light Off,100.923
88,88,Trhn>VNC-ACR1,Test,Green Light Off,0.0
89,89,VNC-ACR1/w,Ctrl,Green Light On,11.516
90,90,Trhn/w,Ctrl,Green Light On,59.107
91,91,VNC-ACR1/w,Ctrl,Green Light On,2.0460000000000003
92,92,VNC-ACR1/w,Ctrl,Green Light On,361.597
93,93,Trhn/w,Ctrl,Green Light On,112.806
94,94,Trhn/w,Ctrl,Green Light On,11.157
95,95,Trhn/w,Ctrl,Green Light On,210.611
96,96,Trhn/w,Ctrl,Green Light On,57.276999999999894
97,97,VNC-ACR1/w,Ctrl,Green Light On,21.755
98,98,Trhn/w,Ctrl,Green Light On,50.494
99,99,VNC-ACR1/w,Ctrl,Green Light On,119.307
100,100,VNC-ACR1/w,Ctrl,Green Light On,0.0
101,101,VNC-ACR1/w,Ctrl,Green Light On,0.0
102,102,VNC-ACR1/w,Ctrl,Green Light On,0.0
103,103,Trhn/w,Ctrl,Green Light On,0.0
104,104,VNC-ACR1/w,Ctrl,Green Light On,0.0
105,105,Trhn/w,Ctrl,Green Light On,0.0
106,106,Trhn/w,Ctrl,Green Light On,0.0
107,107,VNC-ACR1/w,Ctrl,Green Light On,0.0
108,108,Trhn/w,Ctrl,Green Light On,0.0
109,109,VNC-ACR1/w,Ctrl,Green Light On,0.0
110,110,VNC-ACR1/w,Ctrl,Green Light On,0.0
111,111,VNC-ACR1/w,Ctrl,Green Light On,0.0
112,112,Trhn/w,Ctrl,Green Light On,0.0
113,113,VNC-ACR1/w,Ctrl,Green Light On,0.0
114,114,Trhn/w,Ctrl,Green Light On,0.0
115,115,Trhn/w,Ctrl,Green Light On,0.0
116,116,VNC-ACR1/w,Ctrl,Green Light On,0.0
117,117,VNC-ACR1/w,Ctrl,Green Light On,66.77
118,118,Trhn/w,Ctrl,Green Light On,39.07
119,119,VNC-ACR1/w,Ctrl,Green Light On,122.179
120,120,Trhn/w,Ctrl,Green Light On,375.721
121,121,VNC-ACR1/w,Ctrl,Green Light On,13.543
122,122,VNC-ACR1/w,Ctrl,Green Light On,117.688
123,123,Trhn/w,Ctrl,Green Light On,164.438
124,124,Trhn/w,Ctrl,Green Light On,48.824
125,125,VNC-ACR1/w,Ctrl,Green Light On,22.765
126,126,Trhn/w,Ctrl,Green Light On,134.21800000000002
127,127,Trhn/w,Ctrl,Green Light On,185.841
128,128,VNC-ACR1/w,Ctrl,Green Light On,92.89699999999999
129,129,VNC-ACR1/w,Ctrl,Green Light On,62.1069999999999
130,130,Trhn/w,Ctrl,Green Light On,183.0419999999999
131,131,VNC-ACR1/w,Ctrl,Green Light On,55.8599999999999
132,132,Trhn/w,Ctrl,Green Light On,107.95100000000001
133,133,VNC-ACR1/w,Ctrl,Green Light On,102.248
134,134,Trhn/w,Ctrl,Green Light On,158.1489999999999
135,135,Trhn/w,Ctrl,Green Light On,286.868
136,136,Trhn/w,Ctrl,Green Light On,240.63899999999998
137,137,VNC-ACR1/w,Ctrl,Green Light On,162.95200000000003
138,138,VNC-ACR1/w,Ctrl,Green Light On,68.59800000000001
139,139,Trhn/w,Ctrl,Green Light On,144.94299999999998
140,140,Trhn/w,Ctrl,Green Light On,95.408
141,141,Trhn>VNC-ACR1,Test,Green Light On,97.842
142,142,Trhn>VNC-ACR1,Test,Green Light On,69.535
143,143,Trhn>VNC-ACR1,Test,Green Light On,162.228
144,144,Trhn>VNC-ACR1,Test,Green Light On,34.872
145,145,Trhn>VNC-ACR1,Test,Green Light On,51.658
146,146,Trhn>VNC-ACR1,Test,Green Light On,186.48700000000002
147,147,Trhn>VNC-ACR1,Test,Green Light On,117.198
148,148,Trhn>VNC-ACR1,Test,Green Light On,63.40899999999999
149,149,Trhn>VNC-ACR1,Test,Green Light On,179.591
150,150,Trhn>VNC-ACR1,Test,Green Light On,64.97200000000001
151,151,Trhn>VNC-ACR1,Test,Green Light On,128.3099999999999
152,152,Trhn>VNC-ACR1,Test,Green Light On,131.01299999999998
153,153,Trhn>VNC-ACR1,Test,Green Light On,48.61
154,154,Trhn>VNC-ACR1,Test,Green Light On,121.487
155,155,Trhn>VNC-ACR1,Test,Green Light On,119.401
156,156,Trhn>VNC-ACR1,Test,Green Light On,88.56
157,157,Trhn>VNC-ACR1,Test,Green Light On,109.976
158,158,Trhn>VNC-ACR1,Test,Green Light On,184.4609999999999
159,159,Trhn>VNC-ACR1,Test,Green Light On,2.871
160,160,Trhn>VNC-ACR1,Test,Green Light On,207.983
161,161,Trhn>VNC-ACR1,Test,Green Light On,16.663999999999902
162,162,Trhn>VNC-ACR1,Test,Green Light On,163.69400000000002
163,163,Trhn>VNC-ACR1,Test,Green Light On,80.8359999999999
164,164,Trhn>VNC-ACR1,Test,Green Light On,86.791
165,165,Trhn>VNC-ACR1,Test,Green Light On,234.76
166,166,Trhn>VNC-ACR1,Test,Green Light On,203.625
167,167,Trhn>VNC-ACR1,Test,Green Light On,184.771
168,168,Trhn>VNC-ACR1,Test,Green Light On,243.94199999999998
169,169,Trhn>VNC-ACR1,Test,Green Light On,93.874
170,170,Trhn>VNC-ACR1,Test,Green Light On,252.92999999999998
171,171,Trhn>VNC-ACR1,Test,Green Light On,0.0
172,172,Trhn>VNC-ACR1,Test,Green Light On,104.167
173,173,Trhn>VNC-ACR1,Test,Green Light On,240.75
174,174,Trhn>VNC-ACR1,Test,Green Light On,151.625
175,175,Trhn>VNC-ACR1,Test,Green Light On,92.545
176,176,Trhn>VNC-ACR1,Test,Green Light On,109.502
177,177,Trhn>VNC-ACR1,Test,Green Light On,44.684000000000005
178,178,Trhn>VNC-ACR1,Test,Green Light On,98.427
