,Genotype,Status,Volume
87,ACR1/w,Ctrl,212.607
85,R50H05/w,Ctrl,473.15200000000004
84,ACR1/w,Ctrl,494.815
83,R50H05>ACR1,Test,552.092
82,R50H05/w,Ctrl,285.49600000000004
81,ACR1/w,Ctrl,320.625
80,ACR1/w,Ctrl,400.46999999999997
79,R50H05>ACR1,Test,446.807
78,R50H05>ACR1,Test,516.346
77,R50H05/w,Ctrl,271.356
76,ACR1/w,Ctrl,248.743
75,R50H05>ACR1,Test,377.81
74,R50H05/w,Ctrl,252.51800000000003
73,ACR1/w,Ctrl,387.484
72,R50H05>ACR1,Test,381.91700000000003
71,R50H05/w,Ctrl,420.47200000000004
70,ACR1/w,Ctrl,343.255
69,R50H05>ACR1,Test,593.333
68,R50H05/w,Ctrl,671.2810000000001
67,R50H05/w,Ctrl,480.359
66,ACR1/w,Ctrl,495.348
65,R50H05>ACR1,Test,404.80899999999997
64,R50H05/w,Ctrl,480.526
63,R50H05>ACR1,Test,418.054
62,R50H05/w,Ctrl,378.6429999999999
57,ACR1/w,Ctrl,402.23199999999997
58,ACR1/w,Ctrl,336.8379999999999
59,R50H05/w,Ctrl,368.484
86,R50H05>ACR1,Test,305.80400000000003
173,R50H05>ACR1,Test,0.0
88,ACR1/w,Ctrl,286.45799999999997
89,R50H05/w,Ctrl,194.497
172,R50H05/w,Ctrl,0.0
171,R50H05/w,Ctrl,0.0
170,ACR1/w,Ctrl,0.0
169,R50H05/w,Ctrl,0.0
168,ACR1/w,Ctrl,0.0
167,R50H05>ACR1,Test,0.0
166,R50H05/w,Ctrl,0.0
108,R50H05>ACR1,Test,287.467
107,R50H05/w,Ctrl,220.07299999999998
106,ACR1/w,Ctrl,280.941
105,R50H05>ACR1,Test,505.14899999999994
60,R50H05>ACR1,Test,511.85100000000006
103,ACR1/w,Ctrl,273.075
104,ACR1/w,Ctrl,247.43599999999998
101,ACR1/w,Ctrl,225.166
100,R50H05>ACR1,Test,249.941
99,R50H05/w,Ctrl,340.688
98,ACR1/w,Ctrl,202.945
97,R50H05>ACR1,Test,318.87
96,R50H05/w,Ctrl,296.63
95,ACR1/w,Ctrl,263.70300000000003
94,R50H05>ACR1,Test,200.768
93,R50H05/w,Ctrl,340.423
92,R50H05>ACR1,Test,307.073
91,R50H05>ACR1,Test,183.372
90,R50H05/w,Ctrl,362.508
102,R50H05>ACR1,Test,287.39599999999996
61,ACR1/w,Ctrl,381.99699999999996
116,R50H05/w,Ctrl,673.577
115,R50H05>ACR1,Test,662.089
117,ACR1/w,Ctrl,484.028
118,R50H05/w,Ctrl,489.183
145,R50H05/w,Ctrl,0.0
146,ACR1/w,Ctrl,0.0
147,R50H05/w,Ctrl,0.0
148,R50H05>ACR1,Test,0.0
149,ACR1/w,Ctrl,0.0
150,ACR1/w,Ctrl,0.0
151,R50H05/w,Ctrl,0.0
152,R50H05>ACR1,Test,0.0
153,ACR1/w,Ctrl,0.0
154,ACR1/w,Ctrl,0.0
155,R50H05>ACR1,Test,0.0
156,R50H05>ACR1,Test,0.0
157,ACR1/w,Ctrl,0.0
158,R50H05>ACR1,Test,0.0
159,ACR1/w,Ctrl,0.0
160,R50H05/w,Ctrl,0.0
161,ACR1/w,Ctrl,0.0
162,R50H05/w,Ctrl,0.0
163,R50H05>ACR1,Test,0.0
164,R50H05/w,Ctrl,0.0
165,R50H05>ACR1,Test,0.0
144,ACR1/w,Ctrl,0.0
143,R50H05/w,Ctrl,0.0
142,ACR1/w,Ctrl,0.0
141,R50H05/w,Ctrl,0.0
119,R50H05/w,Ctrl,464.488
120,R50H05>ACR1,Test,532.207
121,ACR1/w,Ctrl,596.6830000000001
122,R50H05/w,Ctrl,705.3079999999999
123,R50H05>ACR1,Test,322.24399999999997
